"106年06月 2888 新光金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/06/01","29,977,085","229,101,085","7.73","7.73","7.62","7.62","-0.13","7,038",
"106/06/02","18,398,835","140,512,131","7.67","7.68","7.62","7.63","+0.01","3,450",
"106/06/03","6,828,722","52,460,764","7.63","7.70","7.63","7.70","+0.07","1,157",
"106/06/05","13,950,881","106,938,564","7.70","7.70","7.64","7.68","-0.02","3,393",
"106/06/06","15,176,087","115,887,650","7.69","7.69","7.61","7.64","-0.04","3,283",
"106/06/07","18,770,131","143,558,053","7.65","7.69","7.62","7.63","-0.01","4,658",
"106/06/08","13,152,370","100,605,484","7.67","7.67","7.63","7.66","+0.03","3,426",
"106/06/09","40,019,446","308,944,965","7.73","7.74","7.69","7.73","+0.07","3,868",
"106/06/12","57,597,527","454,875,400","7.85","8.00","7.79","7.98","+0.25","7,607",
"106/06/13","26,400,332","208,979,834","8.00","8.00","7.88","7.89","-0.09","4,668",
"106/06/14","26,593,698","208,554,363","7.90","7.95","7.78","7.81","-0.08","4,522",
"106/06/15","23,684,992","185,025,084","7.80","7.88","7.74","7.88","+0.07","4,690",
"106/06/16","29,583,417","232,137,537","7.85","7.91","7.80","7.80","-0.08","3,195",
"106/06/19","18,680,649","146,132,302","7.83","7.86","7.80","7.81","+0.01","3,660",
"106/06/20","21,793,781","170,963,843","7.85","7.87","7.82","7.83","+0.02","3,876",
"106/06/21","27,993,916","219,181,964","7.81","7.86","7.81","7.82","-0.01","4,965",
"106/06/22","15,118,156","118,363,467","7.82","7.86","7.81","7.83","+0.01","3,293",
"106/06/23","11,823,118","92,417,664","7.83","7.87","7.80","7.81","-0.02","2,427",
"106/06/26","55,178,447","441,282,916","7.85","8.07","7.83","8.05","+0.24","7,751",
"106/06/27","86,681,105","707,715,692","8.12","8.25","8.12","8.13","+0.08","8,899",
"106/06/28","23,478,496","189,966,536","8.10","8.13","8.06","8.11","-0.02","3,992",
"106/06/29","39,266,041","321,462,257","8.16","8.23","8.15","8.17","+0.06","4,510",
"106/06/30","26,446,550","214,596,407","8.14","8.15","8.08","8.10","-0.07","4,145",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

