"9111る 2889 瓣布           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 91/11/01","2,068,918","11,816,754","5.75","5.80","5.65","5.70"," 0.00","340",
" 91/11/04","7,075,139","41,557,089","5.75","5.95","5.75","5.85","+0.15","703",
" 91/11/05","1,870,207","10,936,792","5.90","5.90","5.80","5.80","-0.05","479",
" 91/11/06","5,883,271","35,270,611","5.80","6.10","5.80","6.00","+0.20","845",
" 91/11/07","6,714,462","41,323,353","6.10","6.25","6.05","6.25","+0.25","779",
" 91/11/08","7,937,194","50,072,284","6.15","6.40","6.15","6.40","+0.15","950",
" 91/11/11","4,334,168","27,141,381","6.40","6.40","6.15","6.15","-0.25","524",
" 91/11/12","3,270,376","20,163,633","6.25","6.30","6.10","6.15"," 0.00","546",
" 91/11/13","2,845,865","17,581,235","6.20","6.25","6.10","6.15"," 0.00","499",
" 91/11/14","5,490,782","34,217,254","6.20","6.35","6.15","6.20","+0.05","666",
" 91/11/15","14,109,311","90,542,316","6.30","6.55","6.25","6.50","+0.30","1,418",
" 91/11/18","11,202,521","73,965,761","6.50","6.75","6.45","6.50"," 0.00","1,286",
" 91/11/19","5,175,529","32,592,372","6.40","6.45","6.20","6.25","-0.25","673",
" 91/11/20","3,936,725","24,650,025","6.20","6.35","6.15","6.20","-0.05","526",
" 91/11/21","3,902,952","24,085,639","6.30","6.30","6.10","6.15","-0.05","499",
" 91/11/22","3,696,422","23,174,080","6.15","6.35","6.15","6.25","+0.10","437",
" 91/11/25","1,944,179","12,114,282","6.25","6.30","6.15","6.30","+0.05","319",
" 91/11/26","2,104,082","13,221,161","6.30","6.35","6.25","6.25","-0.05","323",
" 91/11/27","1,751,784","10,830,278","6.20","6.25","6.15","6.15","-0.10","340",
" 91/11/28","2,175,973","13,350,204","6.20","6.25","6.05","6.05","-0.10","367",
" 91/11/29","2,422,686","14,749,482","6.05","6.15","6.05","6.10","+0.05","318",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

