"108年02月 2889 國票金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/02/11","2,869,052","28,386,539","9.91","9.93","9.88","9.88","-0.02","1,187",
"108/02/12","1,595,833","15,800,889","9.89","9.93","9.89","9.91","+0.03","670",
"108/02/13","1,997,370","19,847,258","9.91","9.95","9.91","9.95","+0.04","745",
"108/02/14","1,475,309","14,685,202","9.95","9.97","9.93","9.95"," 0.00","547",
"108/02/15","1,629,776","16,230,651","9.95","9.97","9.94","9.97","+0.02","486",
"108/02/18","2,777,069","27,798,403","10.00","10.05","10.00","10.05","+0.08","825",
"108/02/19","1,568,072","15,691,160","10.00","10.05","9.99","10.00","-0.05","622",
"108/02/20","1,627,735","16,315,950","10.05","10.05","10.00","10.05","+0.05","732",
"108/02/21","1,745,304","17,462,440","10.05","10.05","10.00","10.00","-0.05","769",
"108/02/22","1,232,736","12,361,360","10.00","10.05","10.00","10.05","+0.05","496",
"108/02/25","2,364,340","23,783,697","10.05","10.10","10.00","10.10","+0.05","656",
"108/02/26","2,060,762","20,736,975","10.05","10.10","10.05","10.05","-0.05","660",
"108/02/27","2,650,534","26,601,336","10.05","10.10","10.00","10.10","+0.05","792",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

