"94年09月 2890 永豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 94/09/02","4,553,939","71,377,339","15.70","15.80","15.55","15.65","-0.05","763",
" 94/09/05","4,494,397","70,767,773","15.65","15.85","15.60","15.80","+0.15","759",
" 94/09/06","5,524,033","87,676,069","15.85","16.00","15.75","15.95","+0.15","995",
" 94/09/07","9,518,979","152,894,519","15.95","16.20","15.90","16.20","+0.25","1,617",
" 94/09/08","2,500,807","40,084,594","16.15","16.20","15.95","16.00","-0.20","558",
" 94/09/09","5,599,449","88,671,832","16.00","16.00","15.75","15.90","-0.10","934",
" 94/09/12","6,135,553","97,212,517","16.00","16.00","15.75","15.85","-0.05","1,183",
" 94/09/13","6,007,576","95,969,236","15.95","16.05","15.90","16.00","+0.15","848",
" 94/09/14","4,968,454","78,456,305","15.80","15.90","15.70","15.80","-0.20","868",
" 94/09/15","9,374,195","147,276,272","15.70","15.75","15.65","15.70","-0.10","1,381",
" 94/09/16","8,085,237","126,554,461","15.70","15.70","15.55","15.60","-0.10","2,691",
" 94/09/19","11,732,582","183,524,721","15.60","15.70","15.60","15.60"," 0.00","2,004",
" 94/09/20","6,603,271","103,374,256","15.65","15.70","15.55","15.65","+0.05","760",
" 94/09/21","11,383,877","179,123,811","15.70","15.80","15.60","15.75","+0.10","1,182",
" 94/09/22","17,278,335","267,693,562","15.55","15.65","15.40","15.45","-0.30","2,595",
" 94/09/23","22,457,570","340,431,135","15.45","15.50","14.90","14.90","-0.55","4,191",
" 94/09/26","21,571,451","315,484,830","15.10","15.10","14.35","14.45","-0.45","2,427",
" 94/09/27","12,757,398","186,470,888","14.50","14.75","14.45","14.70","+0.25","1,560",
" 94/09/28","9,152,580","134,497,228","14.85","14.85","14.60","14.65","-0.05","956",
" 94/09/29","19,346,262","291,535,787","14.80","15.30","14.70","15.10","+0.45","1,894",
" 94/09/30","9,559,901","146,968,377","15.10","15.45","15.05","15.45","+0.35","1,328",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

