"9403る 2891 い獺           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 94/03/01","13,635,378","507,812,661","37.00","37.45","37.00","37.45","+0.35","2,476",
" 94/03/02","14,472,462","537,635,287","37.30","37.40","37.05","37.15","-0.30","2,355",
" 94/03/03","18,800,720","689,827,340","36.80","37.10","36.50","37.00","-0.15","3,197",
" 94/03/04","14,214,358","525,846,578","36.60","37.20","36.60","37.20","+0.20","2,447",
" 94/03/07","11,388,214","421,882,026","37.20","37.20","36.80","37.15","-0.05","2,256",
" 94/03/08","18,192,222","669,163,451","37.30","37.30","36.45","36.75","-0.40","3,296",
" 94/03/09","22,588,064","834,464,293","36.50","37.20","36.50","37.15","+0.40","2,919",
" 94/03/10","37,729,190","1,401,929,692","37.10","37.20","36.65","37.20","+0.05","2,307",
" 94/03/11","10,924,378","405,945,229","37.20","37.25","37.05","37.20"," 0.00","1,518",
" 94/03/14","17,267,593","632,635,302","37.15","37.15","36.20","36.70","-0.50","3,415",
" 94/03/15","12,988,525","474,564,764","36.70","36.75","36.30","36.30","-0.40","2,589",
" 94/03/16","17,514,731","632,616,701","36.25","36.40","36.00","36.10","-0.20","2,300",
" 94/03/17","15,916,652","571,480,188","35.80","36.25","35.70","36.10"," 0.00","2,552",
" 94/03/18","9,172,721","329,241,250","36.10","36.35","35.65","35.70","-0.40","2,154",
" 94/03/21","21,584,172","770,547,648","35.70","35.85","35.60","35.70"," 0.00","1,585",
" 94/03/22","18,069,222","651,265,180","35.85","36.65","35.70","35.75","+0.05","2,606",
" 94/03/23","11,987,324","431,751,392","36.40","36.40","35.70","36.30","+0.55","2,125",
" 94/03/24","10,073,612","362,976,119","36.30","36.30","35.80","36.05","-0.25","2,026",
" 94/03/25","9,346,534","333,989,057","35.70","36.10","35.60","36.00","-0.05","1,915",
" 94/03/28","3,430,940","122,915,152","36.00","36.00","35.70","35.85","-0.15","795",
" 94/03/29","7,593,667","271,097,221","35.80","36.00","35.45","36.00","+0.15","1,362",
" 94/03/30","10,886,383","389,721,211","35.50","35.90","35.50","35.90","-0.10","1,747",
" 94/03/31","11,285,493","401,472,028","35.90","35.90","35.45","35.55","-0.35","2,633",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

