"106年06月 2891 中信金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/06/01","31,507,934","604,557,758","19.15","19.25","19.10","19.15"," 0.00","7,471",
"106/06/02","23,787,936","458,135,296","19.30","19.35","19.15","19.30","+0.15","8,168",
"106/06/03","11,453,614","221,447,971","19.30","19.40","19.25","19.40","+0.10","4,736",
"106/06/05","36,763,201","711,278,693","19.40","19.40","19.30","19.35","-0.05","9,838",
"106/06/06","25,455,793","492,485,196","19.35","19.40","19.30","19.35"," 0.00","6,734",
"106/06/07","35,444,031","684,179,690","19.30","19.35","19.25","19.30","-0.05","5,356",
"106/06/08","37,405,196","722,669,683","19.30","19.40","19.20","19.40","+0.10","10,430",
"106/06/09","28,972,194","562,039,234","19.40","19.50","19.30","19.40"," 0.00","7,098",
"106/06/12","31,481,662","610,615,063","19.40","19.45","19.35","19.40"," 0.00","5,629",
"106/06/13","22,605,753","439,449,540","19.40","19.50","19.35","19.45","+0.05","7,007",
"106/06/14","26,920,540","521,038,347","19.40","19.45","19.25","19.40","-0.05","5,542",
"106/06/15","19,817,502","383,561,688","19.30","19.40","19.25","19.40"," 0.00","4,351",
"106/06/16","21,043,907","407,177,404","19.25","19.40","19.25","19.35","-0.05","4,637",
"106/06/19","26,469,677","514,469,064","19.35","19.50","19.30","19.50","+0.15","5,873",
"106/06/20","22,948,393","447,370,816","19.50","19.55","19.40","19.55","+0.05","4,232",
"106/06/21","25,404,807","494,326,593","19.45","19.55","19.40","19.40","-0.15","6,105",
"106/06/22","19,344,069","376,033,780","19.40","19.50","19.35","19.50","+0.10","4,850",
"106/06/23","17,474,709","339,018,867","19.45","19.50","19.35","19.40","-0.10","3,704",
"106/06/26","55,355,917","1,089,105,676","19.45","19.80","19.40","19.80","+0.40","9,803",
"106/06/27","30,827,954","609,866,190","19.80","19.90","19.70","19.80"," 0.00","5,845",
"106/06/28","19,595,288","384,941,800","19.75","19.75","19.55","19.70","-0.10","5,393",
"106/06/29","30,846,539","614,053,396","19.85","20.00","19.80","19.90","+0.20","7,147",
"106/06/30","31,389,226","625,175,597","19.90","20.00","19.80","19.95","+0.05","5,448",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

