"96年01月 2892 第一金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 96/01/02","21,133,576","531,501,661","24.75","25.40","24.70","25.20","+0.45","2,937",
" 96/01/03","28,369,470","721,646,300","25.35","25.65","25.15","25.15","-0.05","3,145",
" 96/01/04","11,357,342","287,681,690","25.30","25.50","25.15","25.25","+0.10","2,031",
" 96/01/05","19,896,098","495,896,863","25.10","25.30","24.75","24.95","-0.30","1,989",
" 96/01/08","18,163,653","447,471,667","24.75","24.80","24.50","24.70","-0.25","1,989",
" 96/01/09","10,578,067","260,508,976","24.70","24.80","24.45","24.50","-0.20","1,678",
" 96/01/10","12,680,419","305,155,847","24.30","24.30","24.00","24.10","-0.40","2,029",
" 96/01/11","8,781,920","210,395,550","24.10","24.20","23.85","23.90","-0.20","1,357",
" 96/01/12","4,564,754","110,506,351","24.10","24.35","24.00","24.30","+0.40","1,070",
" 96/01/15","8,453,305","203,858,220","24.40","24.40","24.00","24.10","-0.20","1,345",
" 96/01/16","6,140,322","148,102,583","24.00","24.25","23.95","24.25","+0.15","1,355",
" 96/01/17","10,736,049","261,148,694","24.20","24.45","24.05","24.25"," 0.00","1,772",
" 96/01/18","15,588,688","377,236,282","24.25","24.35","24.05","24.35","+0.10","2,484",
" 96/01/19","6,367,834","155,097,135","24.20","24.50","24.20","24.35"," 0.00","1,308",
" 96/01/22","7,613,652","184,825,899","24.35","24.45","24.10","24.30","-0.05","1,579",
" 96/01/23","4,014,111","97,527,802","24.30","24.35","24.25","24.30"," 0.00","849",
" 96/01/24","8,968,645","218,759,454","24.50","24.55","24.25","24.40","+0.10","1,480",
" 96/01/25","6,974,044","169,289,338","24.40","24.50","24.10","24.15","-0.25","1,265",
" 96/01/26","6,078,449","146,502,080","24.10","24.30","24.00","24.10","-0.05","928",
" 96/01/29","5,279,159","126,929,516","24.10","24.25","24.00","24.00","-0.10","886",
" 96/01/30","4,973,005","119,283,120","23.80","24.20","23.80","24.00"," 0.00","1,055",
" 96/01/31","9,651,808","231,501,492","24.00","24.15","23.90","24.00"," 0.00","1,259",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

