"10112る 2903 环κ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"101/12/03","11,552,619","354,064,233","30.40","31.20","30.20","30.35","+0.15","4,617",
"101/12/04","7,645,040","232,740,451","30.20","30.75","30.00","30.60","+0.25","2,771",
"101/12/05","7,874,341","243,091,260","30.50","31.10","30.50","30.80","+0.20","3,478",
"101/12/06","7,531,523","233,215,992","30.80","31.30","30.60","30.65","-0.15","2,766",
"101/12/07","6,203,586","191,750,708","30.80","31.20","30.70","30.70","+0.05","2,602",
"101/12/10","5,241,211","160,141,013","31.15","31.15","30.25","30.25","-0.45","2,387",
"101/12/11","8,490,101","252,084,773","30.25","30.35","29.15","29.60","-0.65","3,366",
"101/12/12","5,640,901","169,285,363","29.70","30.25","29.70","30.10","+0.50","2,441",
"101/12/13","6,087,832","183,891,150","30.30","30.35","30.05","30.20","+0.10","2,534",
"101/12/14","5,340,083","161,449,136","30.20","30.40","30.05","30.25","+0.05","2,576",
"101/12/17","5,087,682","153,647,210","30.30","30.50","29.85","30.00","-0.25","2,286",
"101/12/18","5,278,815","157,388,673","30.00","30.20","29.55","29.75","-0.25","2,404",
"101/12/19","5,655,602","169,479,996","30.00","30.20","29.70","29.75"," 0.00","2,121",
"101/12/20","4,730,022","140,611,233","29.80","29.90","29.55","29.70","-0.05","2,368",
"101/12/21","4,833,236","142,158,405","29.70","29.85","29.15","29.30","-0.40","2,309",
"101/12/22","2,524,427","74,222,742","29.40","29.60","29.30","29.40","+0.10","1,114",
"101/12/24","3,289,592","98,561,410","29.40","30.15","29.40","30.00","+0.60","1,752",
"101/12/25","4,085,623","123,377,463","30.20","30.35","30.00","30.30","+0.30","1,910",
"101/12/26","4,090,371","122,655,791","30.30","30.30","29.85","30.00","-0.30","1,842",
"101/12/27","4,954,833","147,252,265","29.90","30.00","29.60","29.85","-0.15","2,104",
"101/12/28","8,876,566","265,250,580","29.95","30.15","29.60","30.15","+0.30","2,968",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

