"105年08月 2903 遠百             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/08/01","3,976,093","72,926,831","18.40","18.40","18.30","18.35","+0.10","1,269",
"105/08/02","5,015,636","92,066,168","18.35","18.45","18.30","18.35"," 0.00","1,236",
"105/08/03","6,679,814","121,698,590","18.30","18.30","18.10","18.25","-0.10","2,374",
"105/08/04","4,045,798","70,681,813","17.40","17.60","17.35","17.50","X0.00","1,450",
"105/08/05","2,056,703","36,076,343","17.60","17.65","17.50","17.50"," 0.00","695",
"105/08/08","1,631,414","28,689,392","17.65","17.65","17.50","17.55","+0.05","669",
"105/08/09","1,544,319","26,998,994","17.60","17.60","17.40","17.45","-0.10","658",
"105/08/10","1,654,153","28,905,557","17.45","17.55","17.40","17.45"," 0.00","609",
"105/08/11","1,903,279","33,154,097","17.45","17.55","17.30","17.45"," 0.00","677",
"105/08/12","2,269,550","40,080,140","17.50","17.80","17.50","17.60","+0.15","860",
"105/08/15","1,390,936","24,467,424","17.60","17.70","17.50","17.60"," 0.00","520",
"105/08/16","3,061,243","53,473,396","17.45","17.65","17.30","17.60"," 0.00","1,066",
"105/08/17","1,543,707","27,011,742","17.60","17.65","17.40","17.45","-0.15","986",
"105/08/18","1,790,729","31,380,204","17.50","17.60","17.45","17.60","+0.15","1,077",
"105/08/19","1,220,059","21,338,261","17.65","17.70","17.35","17.40","-0.20","676",
"105/08/22","1,585,606","27,184,317","17.30","17.40","17.05","17.05","-0.35","700",
"105/08/23","1,237,423","21,177,600","17.10","17.20","17.05","17.05"," 0.00","530",
"105/08/24","1,343,692","23,211,013","17.20","17.35","17.20","17.20","+0.15","659",
"105/08/25","1,224,233","21,024,649","17.20","17.25","17.10","17.25","+0.05","431",
"105/08/26","503,982","8,712,230","17.35","17.40","17.20","17.30","+0.05","296",
"105/08/29","1,435,531","24,488,039","17.25","17.30","17.00","17.10","-0.20","775",
"105/08/30","1,254,332","21,336,094","17.00","17.10","16.95","17.00","-0.10","653",
"105/08/31","2,529,563","42,504,942","17.00","17.00","16.70","16.70","-0.30","1,066",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

