"9705る 2912 参禬           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 97/05/02","882,302","94,654,358","105.50","110.00","105.50","105.50","-1.50","568",
" 97/05/05","1,343,915","141,045,029","105.50","107.00","103.00","105.50"," 0.00","629",
" 97/05/06","694,632","72,387,676","106.50","106.50","103.50","104.00","-1.50","397",
" 97/05/07","1,072,661","114,182,394","104.00","107.50","104.00","106.50","+2.50","405",
" 97/05/08","1,430,747","148,979,935","106.00","106.50","103.00","103.50","-3.00","892",
" 97/05/09","1,221,819","125,220,357","103.50","104.50","101.00","102.00","-1.50","774",
" 97/05/12","803,124","82,695,331","102.50","103.50","102.00","103.50","+1.50","412",
" 97/05/13","1,311,696","138,993,472","104.00","107.00","103.50","107.00","+3.50","836",
" 97/05/14","868,047","91,643,435","107.00","107.00","104.50","105.00","-2.00","462",
" 97/05/15","777,937","83,033,781","106.50","107.00","105.50","107.00","+2.00","524",
" 97/05/16","1,294,065","138,373,455","107.00","108.00","105.50","107.50","+0.50","584",
" 97/05/19","1,522,067","163,296,102","108.00","108.50","106.00","107.00","-0.50","629",
" 97/05/20","1,080,597","114,661,782","107.00","107.50","104.50","106.50","-0.50","567",
" 97/05/21","2,236,490","230,659,970","105.50","106.00","102.00","102.50","-4.00","906",
" 97/05/22","1,738,853","180,599,840","101.00","106.50","100.50","106.50","+4.00","933",
" 97/05/23","1,954,051","205,731,304","104.50","106.50","104.00","104.00","-2.50","668",
" 97/05/26","1,709,542","176,752,826","103.00","105.00","102.00","103.00","-1.00","949",
" 97/05/27","4,376,654","474,487,440","105.50","110.00","105.00","110.00","+7.00","1,489",
" 97/05/28","4,412,220","484,088,760","113.00","113.00","107.00","108.00","-2.00","1,818",
" 97/05/29","3,821,913","439,484,935","112.00","115.50","112.00","115.50","+7.50","1,170",
" 97/05/30","9,456,132","1,092,269,680","118.50","119.50","112.00","115.00","-0.50","3,777",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

