"99年08月 2915 潤泰全           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 99/08/02","10,896,015","1,057,448,623","93.90","99.00","93.10","98.50","+5.90","4,173",
" 99/08/03","3,709,759","366,444,599","99.00","100.00","97.60","98.60","+0.10","1,922",
" 99/08/04","6,077,156","605,821,294","99.00","100.50","98.40","100.00","+1.40","2,498",
" 99/08/05","3,317,144","333,438,744","100.00","102.00","99.20","101.50","+1.50","1,326",
" 99/08/06","1,741,194","175,381,594","101.00","101.50","99.90","101.50"," 0.00","1,023",
" 99/08/09","3,211,524","335,271,273","101.50","108.50","101.00","107.00","+5.50","1,640",
" 99/08/10","7,714,777","778,993,135","105.50","105.50","98.80","98.80","X0.00","3,387",
" 99/08/11","4,492,287","435,966,331","96.00","98.10","96.00","97.70","-1.10","2,404",
" 99/08/12","2,677,928","261,795,745","97.00","98.50","96.60","97.80","+0.10","1,695",
" 99/08/13","3,072,609","297,077,325","98.00","98.00","95.80","96.30","-1.50","1,887",
" 99/08/16","5,269,575","522,581,446","96.30","102.00","96.30","98.50","+2.20","2,921",
" 99/08/17","3,548,116","345,856,589","98.50","99.00","96.50","96.80","-1.70","2,082",
" 99/08/18","3,451,725","335,033,025","97.10","97.80","96.20","97.40","+0.60","1,773",
" 99/08/19","1,542,672","149,749,210","97.60","97.80","96.50","97.30","-0.10","838",
" 99/08/20","2,792,754","275,155,830","97.50","99.10","97.50","98.10","+0.80","1,648",
" 99/08/23","1,619,745","159,503,610","98.30","99.20","97.30","98.40","+0.30","956",
" 99/08/24","1,861,254","182,186,702","98.80","99.10","97.10","97.10","-1.30","1,045",
" 99/08/25","5,169,043","488,801,959","96.80","97.00","92.00","93.00","-4.10","2,680",
" 99/08/26","5,289,135","488,513,768","93.00","95.80","89.50","95.50","+2.50","2,775",
" 99/08/27","3,100,149","298,482,295","95.50","97.70","94.30","97.00","+1.50","1,865",
" 99/08/30","2,781,933","271,224,977","98.30","98.40","96.50","97.70","+0.70","1,606",
" 99/08/31","4,153,083","394,550,725","97.10","97.30","93.50","94.60","-3.10","2,160",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

