"9606る 3008 ミ           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 96/06/01","819,975","366,105,875","453.00","454.50","443.00","447.00","-4.50","730",
" 96/06/04","1,265,919","575,802,550","455.00","461.00","447.00","451.50","+4.50","1,055",
" 96/06/05","927,491","417,335,459","453.00","453.50","444.00","451.00","-0.50","809",
" 96/06/06","1,740,744","768,533,896","446.50","450.50","432.50","434.00","-17.00","1,357",
" 96/06/07","1,998,466","842,808,812","430.00","434.00","419.50","421.00","-13.00","1,492",
" 96/06/08","1,129,340","478,550,960","417.00","429.00","415.00","425.00","+4.00","942",
" 96/06/11","944,511","403,960,252","425.00","434.00","422.50","432.00","+7.00","731",
" 96/06/12","807,750","349,538,500","432.00","438.00","429.00","431.00","-1.00","639",
" 96/06/13","722,049","309,744,001","431.00","437.50","421.00","421.00","-10.00","619",
" 96/06/14","703,648","301,504,992","425.00","432.00","425.00","431.00","+10.00","563",
" 96/06/15","2,606,342","1,167,400,426","436.00","460.50","432.00","452.00","+21.00","2,047",
" 96/06/20","1,181,812","528,592,652","458.00","459.50","439.00","446.50","-5.50","938",
" 96/06/21","5,536,472","2,607,190,172","454.50","477.50","451.00","477.50","+31.00","3,575",
" 96/06/22","4,420,565","2,177,797,240","480.50","499.00","480.50","498.00","+20.50","2,905",
" 96/06/23","828,261","407,380,129","493.00","498.00","488.00","489.00","-9.00","717",
" 96/06/25","1,035,817","511,382,013","495.00","498.00","485.50","491.00","+2.00","817",
" 96/06/26","2,219,139","1,055,740,774","490.00","491.00","465.00","466.00","-25.00","1,673",
" 96/06/27","1,054,801","494,073,373","460.00","475.00","460.00","475.00","+9.00","898",
" 96/06/28","1,235,515","581,174,550","480.00","480.50","466.00","470.00","-5.00","1,116",
" 96/06/29","901,314","419,556,080","475.00","475.00","460.50","461.00","-9.00","837",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

