"107年03月 3008 大立光           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/03/01","859,927","3,297,706,395","3,710.00","3,920.00","3,700.00","3,900.00","+205.00","1,059",
"107/03/02","513,175","1,982,831,092","3,850.00","3,900.00","3,835.00","3,870.00","-30.00","589",
"107/03/05","717,682","2,674,892,720","3,860.00","3,860.00","3,675.00","3,700.00","-170.00","920",
"107/03/06","1,081,391","3,997,475,330","3,715.00","3,750.00","3,655.00","3,655.00","-45.00","1,302",
"107/03/07","725,611","2,638,466,458","3,620.00","3,690.00","3,600.00","3,690.00","+35.00","988",
"107/03/08","436,676","1,622,951,340","3,700.00","3,760.00","3,685.00","3,715.00","+25.00","583",
"107/03/09","633,785","2,412,122,250","3,790.00","3,860.00","3,750.00","3,860.00","+145.00","824",
"107/03/12","766,482","3,051,251,460","3,995.00","4,015.00","3,940.00","3,955.00","+95.00","893",
"107/03/13","759,652","3,068,243,560","4,015.00","4,085.00","4,010.00","4,045.00","+90.00","1,000",
"107/03/14","572,843","2,286,694,455","4,000.00","4,035.00","3,960.00","3,960.00","-85.00","634",
"107/03/15","810,527","3,113,118,680","3,870.00","3,895.00","3,785.00","3,785.00","-175.00","895",
"107/03/16","902,428","3,360,500,000","3,805.00","3,840.00","3,690.00","3,690.00","-95.00","973",
"107/03/19","560,452","2,069,900,480","3,710.00","3,720.00","3,655.00","3,710.00","+20.00","667",
"107/03/20","1,387,237","4,983,715,761","3,650.00","3,670.00","3,550.00","3,555.00","-155.00","1,533",
"107/03/21","745,528","2,720,340,680","3,610.00","3,695.00","3,605.00","3,650.00","+95.00","893",
"107/03/22","966,628","3,534,418,360","3,705.00","3,760.00","3,570.00","3,595.00","-55.00","1,123",
"107/03/23","1,011,553","3,483,692,850","3,450.00","3,510.00","3,400.00","3,400.00","-195.00","1,548",
"107/03/26","669,053","2,324,017,090","3,410.00","3,510.00","3,410.00","3,500.00","+100.00","846",
"107/03/27","757,064","2,655,215,800","3,580.00","3,600.00","3,420.00","3,420.00","-80.00","1,165",
"107/03/28","921,614","3,096,259,290","3,345.00","3,405.00","3,315.00","3,365.00","-55.00","1,222",
"107/03/29","570,705","1,913,818,225","3,415.00","3,415.00","3,315.00","3,315.00","-50.00","969",
"107/03/30","498,897","1,674,084,950","3,365.00","3,390.00","3,330.00","3,330.00","+15.00","793",
"107/03/31","119,514","399,137,180","3,350.00","3,365.00","3,315.00","3,350.00","+20.00","241",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

