"9212る 3009 筿           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 92/12/01","22,672,810","890,129,583","38.80","39.60","38.50","39.40","+0.70","5,215",
" 92/12/02","19,465,195","763,572,640","39.80","39.80","38.80","38.80","-0.60","4,687",
" 92/12/03","13,831,456","539,913,099","38.90","39.40","38.90","38.90","+0.10","3,099",
" 92/12/04","16,983,337","667,338,637","39.10","39.60","39.00","39.10","+0.20","3,891",
" 92/12/05","30,686,676","1,215,407,191","39.50","39.90","39.20","39.60","+0.50","5,964",
" 92/12/08","14,064,369","545,937,534","39.30","39.40","38.50","38.80","-0.80","3,391",
" 92/12/09","28,555,300","1,090,692,677","38.50","38.90","37.90","38.10","-0.70","6,159",
" 92/12/10","16,112,498","611,264,272","37.90","38.30","37.60","38.10"," 0.00","3,719",
" 92/12/11","18,717,515","717,053,615","38.10","38.60","37.90","38.30","+0.20","3,405",
" 92/12/12","31,703,469","1,213,241,863","38.70","38.70","37.80","37.90","-0.40","5,890",
" 92/12/15","18,914,252","716,032,718","38.30","38.30","37.50","37.90"," 0.00","4,328",
" 92/12/16","9,172,290","346,351,452","37.60","38.00","37.50","37.70","-0.20","2,490",
" 92/12/17","65,983,921","2,363,872,154","37.70","37.70","35.10","35.20","-2.50","15,061",
" 92/12/18","38,664,623","1,344,832,317","35.00","35.10","34.40","34.50","-0.70","9,236",
" 92/12/19","32,238,311","1,118,190,610","34.70","35.10","34.20","34.30","-0.20","7,127",
" 92/12/22","24,406,682","847,026,588","34.30","35.10","34.10","34.90","+0.60","5,383",
" 92/12/23","48,366,560","1,719,706,441","35.10","35.80","34.90","35.70","+0.80","8,521",
" 92/12/24","76,258,940","2,749,643,726","35.70","36.60","35.10","36.00","+0.30","11,607",
" 92/12/25","33,838,402","1,207,750,595","35.90","36.10","35.20","35.30","-0.70","5,091",
" 92/12/26","17,526,600","616,422,688","35.30","35.50","34.90","35.00","-0.30","4,066",
" 92/12/29","12,747,410","442,343,713","35.00","35.20","34.50","34.50","-0.50","3,296",
" 92/12/30","33,990,570","1,192,065,700","34.80","35.40","34.70","35.00","+0.50","5,074",
" 92/12/31","16,495,137","576,001,408","35.20","35.30","34.60","34.90","-0.10","3,855",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

