"95年07月 3034 聯詠             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 95/07/03","4,619,121","723,725,618","155.00","158.00","155.00","158.00","+1.00","2,471",
" 95/07/04","10,081,717","1,597,499,220","158.00","162.00","155.00","160.00","+2.00","5,664",
" 95/07/05","8,379,548","1,347,301,357","157.00","163.50","157.00","158.50","-1.50","4,599",
" 95/07/06","8,298,866","1,344,503,158","158.50","165.00","158.50","163.50","+5.00","4,631",
" 95/07/07","18,657,338","3,092,832,126","160.00","172.50","157.00","170.50","+7.00","9,366",
" 95/07/10","6,414,486","1,095,371,592","168.00","172.50","168.00","172.00","+1.50","3,501",
" 95/07/11","6,050,413","1,020,920,645","170.00","172.50","165.00","165.00","-7.00","3,361",
" 95/07/12","7,374,135","1,245,676,680","166.00","171.50","166.00","168.00","+3.00","3,890",
" 95/07/13","4,632,135","779,454,045","169.00","170.00","166.50","167.00","-1.00","2,579",
" 95/07/14","3,979,890","646,824,623","163.00","164.50","160.50","162.50","-4.50","2,150",
" 95/07/17","4,132,740","634,987,106","159.00","161.50","151.50","151.50","-11.00","1,930",
" 95/07/18","3,428,490","519,491,202","147.00","156.00","147.00","155.00","+3.50","1,831",
" 95/07/19","8,702,809","1,392,623,513","157.00","163.00","155.50","158.00","+3.00","3,877",
" 95/07/20","4,692,048","664,100,839","141.50","142.50","140.00","142.50","X0.00","1,778",
" 95/07/21","14,201,115","2,095,355,980","145.00","151.50","143.50","151.00","+8.50","6,791",
" 95/07/24","4,940,147","742,535,710","149.00","155.00","148.50","155.00","+4.00","2,608",
" 95/07/25","11,717,437","1,873,805,294","158.00","162.00","158.00","162.00","+7.00","5,376",
" 95/07/26","7,656,671","1,213,464,360","162.00","162.00","156.00","156.00","-6.00","3,651",
" 95/07/27","6,961,743","1,094,090,508","158.00","159.50","154.50","159.50","+3.50","3,784",
" 95/07/28","14,368,419","2,361,887,135","159.50","166.50","159.00","165.00","+5.50","7,136",
" 95/07/31","6,903,377","1,134,747,697","168.00","168.50","161.00","161.00","-4.00","3,598",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

