"93年02月 3035 智原             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 93/02/02","3,170,490","272,825,504","88.00","88.00","85.00","86.00","-1.00","1,349",
" 93/02/03","2,305,876","197,196,433","86.00","87.00","84.00","87.00","+1.00","959",
" 93/02/04","2,096,194","178,473,029","87.00","87.00","84.00","84.00","-3.00","847",
" 93/02/05","1,108,918","92,810,303","83.50","84.50","83.00","83.00","-1.00","519",
" 93/02/06","1,067,376","89,275,128","83.50","84.50","82.50","82.50","-0.50","454",
" 93/02/09","1,330,400","110,331,411","83.50","84.00","82.00","82.00","-0.50","527",
" 93/02/10","999,976","82,739,129","82.50","84.00","81.50","83.00","+1.00","446",
" 93/02/11","1,480,099","123,079,070","83.00","84.50","82.00","84.50","+1.50","696",
" 93/02/12","2,397,598","205,948,342","85.50","87.50","84.50","84.50"," 0.00","1,038",
" 93/02/13","736,660","62,961,053","85.00","86.50","84.50","85.00","+0.50","369",
" 93/02/16","822,357","69,416,826","85.00","85.50","83.50","83.50","-1.50","357",
" 93/02/17","585,453","49,184,712","84.50","84.50","83.50","84.00","+0.50","247",
" 93/02/18","3,635,475","315,677,200","85.00","88.00","85.00","87.00","+3.00","1,296",
" 93/02/19","2,257,142","198,419,645","87.00","89.00","86.50","87.00"," 0.00","874",
" 93/02/20","1,165,098","101,113,159","87.50","88.00","85.50","86.00","-1.00","438",
" 93/02/23","863,525","74,668,266","86.00","87.50","85.00","85.50","-0.50","373",
" 93/02/24","722,089","61,949,276","85.50","86.50","85.00","85.00","-0.50","324",
" 93/02/25","709,572","60,296,509","85.50","86.00","84.50","84.50","-0.50","383",
" 93/02/26","651,781","56,066,792","85.50","86.50","85.00","86.00","+1.50","309",
" 93/02/27","694,605","59,535,835","87.00","87.00","85.00","85.50","-0.50","197",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

