"93年01月 3037 欣興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 93/01/02","6,902,000","189,387,800","27.10","27.80","26.80","27.50","+0.40","1,655",
" 93/01/05","14,143,434","388,896,140","27.90","28.10","26.70","28.00","+0.50","2,943",
" 93/01/06","18,353,467","518,919,616","28.30","28.60","27.80","27.80","-0.20","3,276",
" 93/01/07","15,457,018","439,391,536","27.90","28.70","27.80","28.30","+0.50","2,893",
" 93/01/08","5,478,420","155,725,699","28.70","28.80","28.10","28.10","-0.20","1,311",
" 93/01/09","7,568,900","215,355,835","28.70","28.80","28.10","28.10"," 0.00","1,559",
" 93/01/12","17,919,542","518,978,030","28.40","29.50","28.30","29.30","+1.20","3,019",
" 93/01/13","17,501,248","520,517,649","29.60","30.20","29.10","29.10","-0.20","3,411",
" 93/01/14","8,869,504","256,175,068","29.00","29.20","28.70","28.70","-0.40","1,823",
" 93/01/15","13,679,258","392,440,248","28.70","29.30","28.00","28.00","-0.70","3,054",
" 93/01/16","7,422,925","206,850,362","28.10","28.30","27.60","27.60","-0.40","1,859",
" 93/01/27","16,815,000","461,596,000","28.40","28.40","26.40","27.20","-0.40","3,415",
" 93/01/28","13,518,848","364,732,615","27.10","27.50","26.70","27.30","+0.10","2,849",
" 93/01/29","23,520,811","662,624,781","27.10","28.80","27.00","28.80","+1.50","5,209",
" 93/01/30","34,232,448","1,003,901,916","29.80","29.80","28.80","28.80"," 0.00","6,181",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

