"9605る 3044 胺供             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 96/05/02","244,161","30,352,464","125.00","126.50","123.00","124.50","-0.50","181",
" 96/05/03","827,347","104,914,588","124.50","129.00","124.50","129.00","+4.50","415",
" 96/05/04","2,405,594","323,957,891","131.50","136.00","131.50","135.00","+6.00","1,147",
" 96/05/07","577,660","78,119,780","136.50","136.50","133.00","133.50","-1.50","344",
" 96/05/08","494,706","66,719,250","135.00","135.50","134.00","134.00","+0.50","237",
" 96/05/09","1,766,131","234,901,855","134.00","135.00","132.50","133.00","-1.00","334",
" 96/05/10","1,179,015","152,564,935","132.50","133.00","127.00","129.50","-3.50","640",
" 96/05/11","617,457","79,129,767","127.00","129.00","127.00","128.00","-1.50","291",
" 96/05/14","1,110,077","145,492,164","129.00","133.00","129.00","132.50","+4.50","600",
" 96/05/15","188,696","24,595,784","132.00","132.50","129.50","129.50","-3.00","158",
" 96/05/16","465,420","60,988,809","131.50","131.50","130.50","131.00","+1.50","163",
" 96/05/17","820,602","108,539,362","133.00","133.50","128.50","131.50","+0.50","403",
" 96/05/18","207,505","27,458,911","131.50","133.00","131.00","132.50","+1.00","155",
" 96/05/21","183,500","24,349,500","133.00","133.00","132.50","132.50"," 0.00","127",
" 96/05/22","1,423,296","193,011,106","134.00","136.50","134.00","135.50","+3.00","760",
" 96/05/23","1,080,577","148,373,333","137.00","138.00","135.50","138.00","+2.50","628",
" 96/05/24","1,158,053","156,544,602","133.00","136.50","133.00","135.50","-2.50","457",
" 96/05/25","513,633","70,400,404","137.50","138.00","136.00","137.00","+1.50","315",
" 96/05/28","2,004,550","284,037,000","138.50","144.50","136.00","140.50","+3.50","1,042",
" 96/05/29","1,918,607","275,249,694","141.00","145.00","141.00","142.50","+2.00","1,116",
" 96/05/30","1,136,764","162,078,368","142.50","143.50","141.00","143.00","+0.50","804",
" 96/05/31","7,166,505","1,072,720,245","145.00","152.50","145.00","149.50","+6.50","1,922",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

