"106年02月 3044 健鼎             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/02/02","3,431,617","256,558,871","77.80","77.80","73.10","73.50","-2.80","2,493",
"106/02/03","1,378,250","103,399,100","74.10","75.60","74.00","75.00","+1.50","928",
"106/02/06","1,241,913","94,446,404","75.30","76.60","75.20","75.80","+0.80","1,039",
"106/02/07","2,517,771","194,510,259","76.00","78.20","75.80","77.90","+2.10","1,613",
"106/02/08","2,214,574","173,865,872","77.90","79.20","77.30","78.30","+0.40","1,478",
"106/02/09","1,878,982","147,286,782","77.60","79.20","76.30","78.10","-0.20","1,339",
"106/02/10","2,328,181","183,777,907","78.00","79.30","78.00","79.10","+1.00","1,309",
"106/02/13","1,815,541","144,238,108","79.20","80.20","78.50","79.90","+0.80","1,133",
"106/02/14","1,909,089","151,170,598","80.50","80.50","78.50","79.10","-0.80","942",
"106/02/15","1,271,134","101,164,212","79.70","79.80","78.90","79.70","+0.60","728",
"106/02/16","2,370,659","187,457,461","79.30","79.80","78.90","79.00","-0.70","960",
"106/02/17","1,349,734","109,326,722","79.50","81.70","79.50","81.50","+2.50","962",
"106/02/18","184,347","14,985,145","81.90","82.00","81.00","81.50"," 0.00","115",
"106/02/20","1,204,961","100,789,653","81.40","85.20","81.00","83.60","+2.10","784",
"106/02/21","1,475,026","123,902,184","83.60","85.00","82.90","83.90","+0.30","813",
"106/02/22","2,641,511","224,822,473","87.00","87.90","84.10","84.50","+0.60","1,854",
"106/02/23","2,704,040","222,699,740","83.50","84.30","81.20","81.40","-3.10","2,013",
"106/02/24","2,444,218","196,803,913","82.70","82.70","79.80","80.20","-1.20","1,566",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

