"107年03月 3045 台灣大           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/03/01","7,878,120","842,500,829","107.00","107.50","106.50","106.50","-1.00","2,066",
"107/03/02","3,097,304","331,088,671","106.50","107.50","106.50","107.00","+0.50","1,498",
"107/03/05","4,365,945","465,822,955","107.00","107.50","106.50","106.50","-0.50","1,781",
"107/03/06","3,589,912","385,941,696","107.50","108.00","107.00","107.50","+1.00","1,442",
"107/03/07","4,561,275","489,629,652","107.50","108.00","107.00","107.00","-0.50","1,219",
"107/03/08","4,124,801","441,831,600","107.00","107.50","107.00","107.00"," 0.00","1,887",
"107/03/09","3,205,269","342,202,283","107.00","107.00","106.50","106.50","-0.50","1,495",
"107/03/12","9,201,463","979,398,792","106.50","107.00","106.00","106.00","-0.50","4,016",
"107/03/13","10,014,416","1,063,880,283","106.00","106.50","106.00","106.00"," 0.00","4,598",
"107/03/14","12,673,751","1,345,439,464","106.50","106.50","106.00","106.00"," 0.00","4,977",
"107/03/15","10,166,515","1,078,437,328","106.00","106.50","105.50","106.00"," 0.00","3,405",
"107/03/16","15,656,928","1,654,109,368","106.00","106.50","105.50","105.50","-0.50","6,243",
"107/03/19","8,301,039","878,748,143","105.50","106.50","105.50","106.00","+0.50","3,678",
"107/03/20","5,354,522","569,004,080","106.00","107.00","106.00","106.00"," 0.00","2,211",
"107/03/21","3,898,644","417,044,468","106.50","107.50","106.50","107.00","+1.00","2,190",
"107/03/22","8,664,163","934,899,104","107.00","108.50","107.00","108.00","+1.00","2,404",
"107/03/23","6,337,866","681,962,528","107.50","108.00","107.00","107.00","-1.00","2,440",
"107/03/26","4,991,899","538,834,482","107.50","108.50","107.00","108.00","+1.00","1,795",
"107/03/27","3,976,853","430,843,679","108.00","108.50","108.00","108.50","+0.50","1,703",
"107/03/28","2,322,599","252,299,983","108.50","109.00","108.00","108.50"," 0.00","792",
"107/03/29","4,920,004","534,159,436","109.00","109.00","108.00","109.00","+0.50","1,402",
"107/03/30","3,820,338","417,456,501","108.50","109.50","108.50","109.50","+0.50","2,042",
"107/03/31","1,736,504","190,855,440","109.50","110.00","109.50","110.00","+0.50","1,316",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

