"99年03月 3231 緯創             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 99/03/01","11,206,813","629,401,954","55.70","57.00","55.20","56.30","+1.30","3,789",
" 99/03/02","10,392,840","589,226,972","57.00","57.30","56.30","56.30"," 0.00","3,543",
" 99/03/03","8,413,775","470,193,253","56.30","56.80","55.60","55.60","-0.70","3,610",
" 99/03/04","9,948,329","557,674,601","56.30","56.70","55.50","55.70","+0.10","4,020",
" 99/03/05","10,355,910","582,614,005","56.50","56.80","55.70","56.30","+0.60","3,032",
" 99/03/08","20,718,326","1,202,569,677","56.90","58.60","56.80","58.60","+2.30","8,268",
" 99/03/09","15,467,724","911,164,616","59.10","59.50","58.50","58.90","+0.30","5,645",
" 99/03/10","17,740,484","1,047,640,072","59.70","59.70","58.00","58.10","-0.80","6,701",
" 99/03/11","24,491,623","1,409,984,957","58.50","59.20","56.80","57.00","-1.10","8,436",
" 99/03/12","17,181,283","970,900,857","56.70","57.00","56.20","56.70","-0.30","6,550",
" 99/03/15","8,158,342","459,888,473","56.70","57.00","55.80","55.80","-0.90","2,947",
" 99/03/16","5,029,275","285,144,586","56.70","57.20","56.00","57.10","+1.30","2,107",
" 99/03/17","18,788,927","1,098,253,274","58.60","58.90","58.10","58.90","+1.80","7,406",
" 99/03/18","20,014,424","1,188,760,964","59.00","60.00","59.00","59.70","+0.80","6,972",
" 99/03/19","8,698,483","519,060,953","60.00","60.10","59.20","60.10","+0.40","3,603",
" 99/03/22","7,245,880","422,631,974","59.90","59.90","57.70","58.40","-1.70","3,226",
" 99/03/23","9,337,449","550,020,493","59.20","59.50","58.40","58.60","+0.20","3,302",
" 99/03/24","13,598,458","800,441,272","59.00","59.40","58.40","58.40","-0.20","3,666",
" 99/03/25","15,072,922","892,147,120","58.60","60.20","58.10","60.00","+1.60","4,818",
" 99/03/26","6,992,758","417,000,012","60.00","60.00","59.20","59.60","-0.40","2,984",
" 99/03/29","12,143,016","725,446,684","59.90","60.40","59.00","59.20","-0.40","3,970",
" 99/03/30","14,043,411","817,752,877","59.40","59.50","57.70","58.40","-0.80","4,931",
" 99/03/31","6,538,539","378,704,830","58.30","58.30","57.70","57.70","-0.70","2,716",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

