"9503る 3367 璣地笷           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 95/03/01","2,241,902","464,788,116","200.00","211.50","200.00","209.00","+8.00","1,430",
" 95/03/02","3,018,061","620,294,505","209.00","210.00","202.00","205.00","-4.00","1,514",
" 95/03/03","1,959,410","411,248,571","205.00","213.00","205.00","208.00","+3.00","1,225",
" 95/03/06","2,133,869","437,635,252","210.00","210.00","201.00","209.00","+1.00","1,061",
" 95/03/07","2,569,999","546,297,786","207.00","215.50","205.50","214.50","+5.50","1,485",
" 95/03/08","1,021,223","214,045,884","214.50","214.50","207.00","208.00","-6.50","737",
" 95/03/09","1,210,875","234,304,308","193.50","193.50","193.50","193.50","-14.50","481",
" 95/03/10","5,122,202","942,162,062","180.00","188.50","180.00","181.00","-12.50","2,077",
" 95/03/13","2,363,315","436,539,061","182.00","189.00","179.50","187.50","+6.50","1,335",
" 95/03/14","1,977,359","374,872,210","187.50","193.00","186.50","190.00","+2.50","898",
" 95/03/15","2,205,439","411,976,715","193.00","194.00","183.50","185.00","-5.00","1,227",
" 95/03/16","1,781,417","328,942,766","186.00","189.50","180.50","181.00","-4.00","1,131",
" 95/03/17","878,241","159,906,621","182.00","184.00","181.00","181.00"," 0.00","570",
" 95/03/20","1,430,558","261,270,440","182.00","184.50","180.00","181.00"," 0.00","910",
" 95/03/21","2,486,891","425,589,131","181.00","181.00","168.50","168.50","-12.50","1,360",
" 95/03/22","796,696","125,576,272","160.00","160.00","157.00","157.00","-11.50","389",
" 95/03/23","3,288,461","486,364,530","149.00","151.50","146.50","147.00","-10.00","1,893",
" 95/03/24","2,871,780","399,637,140","140.00","142.00","137.00","138.50","-8.50","1,542",
" 95/03/27","2,840,666","407,855,902","140.00","148.00","135.00","147.00","+8.50","1,465",
" 95/03/28","1,748,848","254,292,916","147.00","148.50","141.50","142.00","-5.00","1,013",
" 95/03/29","5,574,969","794,311,954","132.50","148.00","132.50","147.00","+5.00","2,115",
" 95/03/30","2,351,326","355,212,900","150.00","155.00","147.50","150.50","+3.50","1,276",
" 95/03/31","1,541,808","235,570,604","150.00","155.00","150.00","151.50","+1.00","817",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

