"101年03月 3376 新日興           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/03/01","4,834,753","395,087,659","78.90","83.40","78.10","83.40","+5.40","2,364",
"101/03/02","5,663,633","483,539,871","85.20","86.60","84.00","84.50","+1.10","2,894",
"101/03/03","3,880,081","337,737,437","85.10","88.50","84.80","88.50","+4.00","2,485",
"101/03/05","4,938,473","437,550,533","89.00","90.30","86.60","88.90","+0.40","2,338",
"101/03/06","3,096,315","264,838,181","88.90","88.90","83.80","85.70","-3.20","1,865",
"101/03/07","1,684,300","141,806,800","81.40","85.70","81.40","84.00","-1.70","1,157",
"101/03/08","2,487,412","213,388,984","84.00","87.20","84.00","85.90","+1.90","1,706",
"101/03/09","2,014,954","173,844,465","85.90","87.20","85.00","85.40","-0.50","1,275",
"101/03/12","1,123,389","94,888,387","86.50","86.50","83.00","83.00","-2.40","778",
"101/03/13","1,738,291","143,892,433","83.10","84.00","81.50","83.00"," 0.00","1,018",
"101/03/14","2,997,085","255,810,895","86.80","86.80","84.00","84.80","+1.80","1,557",
"101/03/15","2,657,964","226,544,067","84.00","88.00","83.40","86.60","+1.80","1,604",
"101/03/16","2,730,281","238,367,918","86.60","88.50","85.30","86.60"," 0.00","1,588",
"101/03/19","1,313,177","113,234,022","86.60","87.00","85.20","86.60"," 0.00","760",
"101/03/20","1,421,197","120,716,404","86.80","87.10","83.50","83.70","-2.90","936",
"101/03/21","2,964,570","237,878,203","83.00","84.00","77.90","80.10","-3.60","1,762",
"101/03/22","1,899,074","149,695,575","79.00","80.10","77.30","78.00","-2.10","1,168",
"101/03/23","2,928,839","233,544,266","78.00","80.60","77.20","79.60","+1.60","1,618",
"101/03/26","1,593,812","123,727,601","79.40","79.70","76.30","76.70","-2.90","931",
"101/03/27","2,260,888","176,224,082","77.30","79.20","76.30","77.80","+1.10","1,413",
"101/03/28","1,875,354","147,868,411","79.10","79.50","78.30","78.30","+0.50","1,049",
"101/03/29","2,116,988","160,346,482","78.10","78.10","74.00","76.30","-2.00","1,402",
"101/03/30","1,916,500","149,952,246","76.30","79.50","76.00","78.60","+2.30","1,276",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

