"97年12月 3406 玉晶光           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 97/12/01","439,908","8,513,608","19.00","19.60","18.90","19.10","+0.20","274",
" 97/12/02","297,201","5,294,626","17.80","18.10","17.80","17.80","-1.30","165",
" 97/12/03","511,562","8,862,277","17.80","18.20","16.60","16.60","-1.20","335",
" 97/12/04","530,100","8,784,460","16.60","17.00","16.00","16.00","-0.60","309",
" 97/12/05","1,051,400","16,980,430","16.00","16.50","15.40","15.85","-0.15","415",
" 97/12/08","507,000","8,472,900","16.20","16.95","16.05","16.95","+1.10","257",
" 97/12/09","236,200","4,272,170","18.10","18.10","17.95","18.10","+1.15","133",
" 97/12/10","303,312","5,869,086","19.35","19.35","19.35","19.35","+1.25","166",
" 97/12/11","440,111","9,110,296","20.70","20.70","20.70","20.70","+1.35","153",
" 97/12/12","3,501,474","75,462,424","22.00","22.10","20.10","22.10","+1.40","1,485",
" 97/12/15","206,421","4,871,535","23.60","23.60","23.60","23.60","+1.50","123",
" 97/12/16","3,554,825","87,724,806","25.25","25.25","23.65","24.90","+1.30","1,616",
" 97/12/17","1,493,023","36,003,187","24.90","25.00","23.50","23.55","-1.35","763",
" 97/12/18","1,332,160","30,091,726","23.55","23.55","21.95","23.55"," 0.00","649",
" 97/12/19","1,520,575","36,475,670","22.90","24.90","22.80","23.70","+0.15","908",
" 97/12/22","804,674","18,854,182","24.50","24.50","22.80","23.00","-0.70","406",
" 97/12/23","557,020","12,230,038","23.00","23.00","21.55","22.00","-1.00","330",
" 97/12/24","970,200","22,084,450","21.70","23.50","21.10","23.50","+1.50","516",
" 97/12/25","1,458,100","35,154,320","24.60","24.80","23.30","23.50"," 0.00","745",
" 97/12/26","692,432","16,277,507","23.50","24.30","22.80","23.50"," 0.00","399",
" 97/12/29","369,000","8,642,900","23.50","24.00","23.05","23.20","-0.30","218",
" 97/12/30","889,121","21,732,500","23.55","24.80","23.55","24.80","+1.60","421",
" 97/12/31","1,767,110","43,479,050","24.70","25.10","23.90","24.55","-0.25","833",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

