"106年09月 3443 創意             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/09/01","10,397,865","2,213,819,435","210.00","217.50","209.50","211.50","-10.00","7,149",
"106/09/04","5,118,863","1,104,898,744","216.50","218.50","212.00","213.00","+1.50","3,768",
"106/09/05","7,055,988","1,461,119,975","210.00","212.00","204.50","208.50","-4.50","5,071",
"106/09/06","6,318,429","1,333,057,164","205.00","215.00","205.00","215.00","+6.50","4,739",
"106/09/07","5,664,881","1,178,950,462","217.00","218.50","200.00","200.00","-15.00","4,410",
"106/09/08","3,658,313","753,116,936","200.00","209.50","200.00","207.50","+7.50","2,916",
"106/09/11","2,288,538","469,870,511","209.50","209.50","202.00","204.50","-3.00","1,764",
"106/09/12","2,641,029","547,648,945","207.00","210.50","203.50","205.00","+0.50","1,974",
"106/09/13","2,233,279","453,429,637","206.50","207.00","199.50","203.00","-2.00","1,764",
"106/09/14","2,849,760","567,950,000","203.00","204.00","196.00","200.00","-3.00","2,341",
"106/09/15","9,209,559","1,691,742,120","193.00","193.00","180.00","180.00","-20.00","6,688",
"106/09/18","9,075,873","1,672,286,047","179.50","191.00","175.50","188.00","+8.00","6,486",
"106/09/19","7,689,553","1,500,131,388","192.00","198.50","191.50","196.50","+8.50","5,857",
"106/09/20","3,964,222","758,509,624","194.00","195.00","188.00","192.00","-4.50","3,037",
"106/09/21","4,707,340","931,647,180","193.50","202.00","191.00","202.00","+10.00","3,774",
"106/09/22","6,551,258","1,340,621,148","201.00","207.50","198.00","207.00","+5.00","4,913",
"106/09/25","4,436,036","881,812,996","208.50","208.50","192.50","192.50","-14.50","3,416",
"106/09/26","4,999,363","931,744,292","190.00","193.50","177.50","183.00","-9.50","3,852",
"106/09/27","3,159,990","597,074,593","187.00","192.00","184.00","190.00","+7.00","2,375",
"106/09/28","3,608,538","700,501,486","190.00","198.00","189.00","197.00","+7.00","2,874",
"106/09/29","4,170,620","819,896,040","196.50","201.50","192.50","192.50","-4.50","3,275",
"106/09/30","7,325,576","1,503,636,308","196.00","211.50","196.00","208.00","+15.50","5,530",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

