"9610る 3474 地ㄈ           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 96/10/01","5,930,459","192,679,238","32.90","32.95","32.20","32.20","-0.70","2,017",
" 96/10/02","7,165,032","234,385,322","32.50","32.80","32.50","32.75","+0.55","1,818",
" 96/10/03","8,471,693","279,041,194","32.95","33.35","32.45","33.10","+0.35","2,452",
" 96/10/04","4,768,140","156,106,907","32.70","32.95","32.55","32.80","-0.30","1,231",
" 96/10/05","4,252,205","138,047,740","32.90","32.95","32.05","32.55","-0.25","1,197",
" 96/10/08","5,903,163","189,743,911","32.55","32.60","32.00","32.10","-0.45","1,577",
" 96/10/09","5,615,027","181,295,607","32.40","32.45","32.10","32.35","+0.25","1,398",
" 96/10/11","6,141,685","199,645,296","32.50","32.70","32.30","32.35"," 0.00","1,547",
" 96/10/12","5,851,080","188,236,871","32.35","32.60","31.90","31.90","-0.45","1,494",
" 96/10/15","4,980,482","156,878,607","31.90","32.10","31.25","31.90"," 0.00","1,396",
" 96/10/16","16,548,728","542,475,905","31.90","33.50","31.70","32.90","+1.00","4,316",
" 96/10/17","7,066,070","229,210,025","33.10","33.10","32.10","32.15","-0.75","2,111",
" 96/10/18","7,758,645","252,544,605","32.40","32.90","32.15","32.85","+0.70","2,208",
" 96/10/19","4,876,639","159,492,171","33.10","33.10","32.40","32.85"," 0.00","1,528",
" 96/10/22","9,791,538","309,117,483","31.55","31.80","31.45","31.50","-1.35","2,607",
" 96/10/23","11,523,644","358,563,779","31.60","31.80","31.00","31.05","-0.45","3,332",
" 96/10/24","17,204,639","526,376,093","31.00","31.15","30.25","30.25","-0.80","4,190",
" 96/10/25","9,643,549","293,679,005","30.30","30.80","30.10","30.30","+0.05","2,497",
" 96/10/26","7,683,426","236,121,187","30.25","31.25","30.25","31.25","+0.95","2,059",
" 96/10/29","6,268,921","196,078,701","31.50","31.60","31.05","31.10","-0.15","1,772",
" 96/10/30","4,293,584","132,247,366","31.30","31.30","30.55","30.55","-0.55","1,400",
" 96/10/31","5,043,757","155,843,436","30.60","31.30","30.60","30.80","+0.25","1,523",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

