"106年06月 3481 群創             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/06/01","54,786,854","748,343,822","13.60","13.75","13.60","13.65","+0.05","7,652",
"106/06/02","62,588,807","859,582,911","13.75","13.80","13.65","13.75","+0.10","8,841",
"106/06/03","40,919,193","563,128,768","13.80","13.80","13.70","13.80","+0.05","4,715",
"106/06/05","154,768,110","2,174,760,283","13.75","14.30","13.70","14.25","+0.45","20,817",
"106/06/06","149,361,119","2,159,685,885","14.35","14.60","14.30","14.35","+0.10","20,766",
"106/06/07","115,702,329","1,673,258,636","14.45","14.65","14.30","14.40","+0.05","19,448",
"106/06/08","94,897,191","1,352,614,135","14.45","14.50","14.15","14.15","-0.25","15,855",
"106/06/09","117,448,739","1,640,488,962","14.10","14.20","13.80","13.80","-0.35","18,850",
"106/06/12","55,010,929","762,913,516","13.75","14.05","13.60","14.05","+0.25","9,809",
"106/06/13","62,413,860","868,078,940","14.05","14.10","13.80","13.80","-0.25","9,075",
"106/06/14","78,386,174","1,075,971,843","13.95","14.00","13.55","13.65","-0.15","10,559",
"106/06/15","73,712,698","1,019,655,222","13.75","14.05","13.60","14.05","+0.40","11,609",
"106/06/16","143,260,484","2,039,930,719","14.15","14.35","14.15","14.20","+0.15","17,581",
"106/06/19","84,177,688","1,206,174,159","14.30","14.45","14.25","14.30","+0.10","11,685",
"106/06/20","97,958,973","1,413,248,096","14.40","14.55","14.35","14.40","+0.10","13,282",
"106/06/21","304,397,387","4,515,798,363","14.40","15.05","14.40","15.00","+0.60","40,040",
"106/06/22","156,800,794","2,366,409,160","15.15","15.25","15.00","15.05","+0.05","24,438",
"106/06/23","138,539,317","2,114,031,227","15.10","15.40","15.05","15.25","+0.20","18,397",
"106/06/26","231,296,711","3,644,582,287","15.50","16.00","15.50","16.00","+0.75","31,909",
"106/06/27","220,339,501","3,531,762,897","16.15","16.25","15.80","15.95","-0.05","29,599",
"106/06/28","258,903,644","4,140,240,676","16.50","16.65","15.60","15.60","-0.35","37,282",
"106/06/29","151,271,239","2,367,515,679","15.80","15.95","15.35","15.45","-0.15","19,995",
"106/06/30","165,075,800","2,586,153,229","15.40","15.90","15.30","15.90","+0.45","18,712",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

