"103年02月 3514 昱晶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"103/02/05","8,142,483","247,644,259","30.00","31.50","29.70","31.25","+0.35","3,202",
"103/02/06","9,559,304","305,604,891","31.45","32.40","31.45","32.10","+0.85","4,492",
"103/02/07","11,987,415","373,680,715","31.60","31.85","30.80","30.95","-1.15","5,209",
"103/02/10","6,216,981","190,536,807","31.10","31.40","30.15","30.15","-0.80","2,647",
"103/02/11","5,210,551","157,074,374","30.60","30.60","29.90","30.20","+0.05","2,920",
"103/02/12","7,246,829","218,379,384","30.50","30.75","29.85","30.70","+0.50","2,840",
"103/02/13","7,183,870","219,371,528","30.80","31.25","30.15","30.15","-0.55","3,540",
"103/02/14","6,004,067","180,551,425","30.20","30.50","29.85","29.85","-0.30","2,646",
"103/02/17","11,823,769","334,158,189","29.65","29.65","27.80","27.80","-2.05","4,918",
"103/02/18","6,232,946","174,900,604","27.80","28.40","27.75","28.35","+0.55","2,572",
"103/02/19","7,803,183","215,446,834","28.40","28.40","27.25","27.40","-0.95","4,084",
"103/02/20","5,982,371","165,749,558","27.40","28.15","27.40","27.45","+0.05","2,651",
"103/02/21","6,080,693","170,883,024","28.00","28.40","27.80","28.05","+0.60","2,581",
"103/02/24","6,885,156","198,767,244","28.20","29.20","28.20","28.80","+0.75","3,339",
"103/02/25","6,006,426","174,295,946","29.00","29.40","28.65","28.95","+0.15","2,779",
"103/02/26","4,708,411","134,411,812","28.80","28.85","28.35","28.55","-0.40","2,376",
"103/02/27","4,087,416","118,357,334","28.95","29.15","28.70","29.00","+0.45","1,908",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

