"106年01月 3532 台勝科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/01/03","698,417","45,377,320","64.80","65.40","64.00","65.30","+0.30","505",
"106/01/04","2,976,761","199,506,165","65.60","69.00","65.40","65.40","+0.10","2,104",
"106/01/05","1,212,761","79,220,266","66.40","66.50","64.40","65.40"," 0.00","877",
"106/01/06","704,372","46,409,167","66.30","66.50","65.10","65.10","-0.30","580",
"106/01/09","1,406,340","89,318,785","65.50","66.10","62.60","62.90","-2.20","1,011",
"106/01/10","1,216,237","75,585,168","62.90","64.50","60.60","64.50","+1.60","936",
"106/01/11","696,800","44,481,439","64.50","65.10","63.00","63.00","-1.50","543",
"106/01/12","800,725","51,464,891","63.80","65.60","63.30","63.30","+0.30","630",
"106/01/13","806,972","51,516,108","63.90","64.80","62.30","63.90","+0.60","615",
"106/01/16","1,011,010","65,226,344","64.80","65.20","63.30","64.40","+0.50","780",
"106/01/17","358,500","22,986,699","64.60","64.90","63.50","63.50","-0.90","300",
"106/01/18","3,147,954","212,329,509","63.60","68.80","63.60","67.50","+4.00","2,319",
"106/01/19","3,409,693","241,735,074","68.30","72.20","67.70","71.90","+4.40","2,537",
"106/01/20","2,553,332","184,552,502","74.60","75.20","69.20","69.90","-2.00","1,924",
"106/01/23","1,442,766","102,550,486","70.20","72.20","69.80","71.00","+1.10","1,084",
"106/01/24","1,040,329","72,520,828","71.30","71.50","69.10","69.10","-1.90","822",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

