"10406る 3673 TPK-KY           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/06/01","7,685,508","1,505,284,316","203.00","203.00","192.00","194.50","-9.50","5,126",
"104/06/02","4,159,021","809,842,621","193.00","196.50","190.50","196.50","+2.00","2,983",
"104/06/03","8,461,994","1,642,329,838","197.00","202.00","187.50","192.00","-4.50","5,620",
"104/06/04","8,696,890","1,632,555,373","192.50","194.50","183.50","184.50","-7.50","5,553",
"104/06/05","7,160,634","1,361,176,542","187.50","193.50","186.00","191.00","+6.50","4,664",
"104/06/08","6,622,048","1,247,393,237","191.00","193.00","183.00","191.00"," 0.00","4,336",
"104/06/09","5,890,500","1,123,024,000","191.00","195.50","185.00","186.00","-5.00","4,050",
"104/06/10","5,731,756","1,079,390,258","190.00","192.00","183.50","190.00","+4.00","3,674",
"104/06/11","15,214,315","2,760,232,960","190.50","191.50","177.00","181.00","-9.00","9,356",
"104/06/12","13,930,084","2,542,678,960","179.00","190.00","174.00","190.00","+9.00","8,771",
"104/06/15","5,104,480","961,099,260","190.50","191.50","186.50","188.00","-2.00","3,322",
"104/06/16","8,195,807","1,583,193,944","190.00","197.00","188.00","192.00","+4.00","5,457",
"104/06/17","6,523,133","1,246,798,802","192.00","195.00","187.00","195.00","+3.00","4,843",
"104/06/18","5,501,962","1,072,070,645","195.00","197.00","193.00","193.50","-1.50","3,366",
"104/06/22","4,716,698","908,882,422","195.00","196.50","190.00","190.00","-3.50","3,090",
"104/06/23","5,447,281","1,042,681,233","191.00","193.50","187.50","193.00","+3.00","3,601",
"104/06/24","5,104,110","961,467,180","191.50","192.50","187.00","187.50","-5.50","3,320",
"104/06/25","5,481,559","1,022,820,151","188.00","189.50","183.00","188.50","+1.00","3,629",
"104/06/26","4,050,076","763,751,516","190.50","191.00","186.00","187.50","-1.00","2,569",
"104/06/29","6,885,430","1,253,753,975","185.00","186.50","177.00","181.50","-6.00","4,304",
"104/06/30","4,681,166","844,158,714","179.50","183.00","178.00","178.50","-3.00","2,977",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

