"106年10月 3673 TPK-KY           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/10/02","11,108,609","1,139,215,138","101.50","103.50","100.50","103.50","+3.00","5,923",
"106/10/03","5,522,068","564,753,902","104.00","104.00","101.00","101.50","-2.00","3,162",
"106/10/05","5,922,352","606,351,404","101.50","103.50","101.50","102.00","+0.50","3,206",
"106/10/06","12,347,143","1,288,584,372","104.50","106.00","103.00","104.00","+2.00","6,701",
"106/10/11","9,692,079","992,699,174","105.00","105.00","100.50","100.50","-3.50","4,640",
"106/10/12","7,413,920","761,436,180","101.50","104.00","100.50","104.00","+3.50","4,140",
"106/10/13","4,841,187","502,916,539","103.50","104.50","102.50","104.50","+0.50","2,898",
"106/10/16","9,354,847","988,199,588","105.50","107.00","104.50","105.00","+0.50","4,709",
"106/10/17","6,706,100","694,950,700","106.50","107.00","101.50","101.50","-3.50","3,913",
"106/10/18","13,130,775","1,307,072,813","102.00","102.50","98.10","98.30","-3.20","8,541",
"106/10/19","5,982,974","593,718,584","97.50","101.00","97.10","100.50","+2.20","3,908",
"106/10/20","4,317,379","427,283,308","99.80","100.00","98.20","98.40","-2.10","3,144",
"106/10/23","4,032,880","399,742,400","99.30","100.50","98.00","98.00","-0.40","2,681",
"106/10/24","3,769,810","372,728,729","98.00","99.60","97.60","99.30","+1.30","2,625",
"106/10/25","7,159,845","718,243,283","101.00","101.50","98.80","98.80","-0.50","3,994",
"106/10/26","3,315,294","328,202,315","98.90","99.70","98.30","98.70","-0.10","2,449",
"106/10/27","8,578,895","832,171,727","99.50","99.60","94.70","94.70","-4.00","5,603",
"106/10/30","8,644,000","836,448,797","97.60","98.10","95.20","96.10","+1.40","5,217",
"106/10/31","7,150,249","703,857,970","96.30","99.60","96.30","99.50","+3.40","4,388",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

