"10402る 3682 ㄈび筿           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/02/02","3,901,900","58,916,536","15.10","15.20","15.05","15.10"," 0.00","939",
"104/02/03","9,044,181","138,742,689","15.10","15.55","15.10","15.40","+0.30","2,527",
"104/02/04","7,393,554","112,973,620","15.45","15.50","15.10","15.25","-0.15","2,110",
"104/02/05","3,115,717","47,199,734","15.10","15.25","15.10","15.25"," 0.00","831",
"104/02/06","2,540,503","38,577,138","15.25","15.25","15.10","15.25"," 0.00","858",
"104/02/09","2,496,600","37,826,968","15.25","15.25","15.10","15.15","-0.10","699",
"104/02/10","4,343,000","65,796,446","15.10","15.25","15.10","15.10","-0.05","1,138",
"104/02/11","4,851,207","73,042,870","15.05","15.15","15.00","15.00","-0.10","1,392",
"104/02/12","2,620,550","39,425,201","15.00","15.10","15.00","15.10","+0.10","766",
"104/02/13","3,558,632","53,921,703","15.10","15.20","15.10","15.15","+0.05","1,016",
"104/02/24","5,396,923","82,059,457","15.10","15.30","15.10","15.30","+0.15","1,859",
"104/02/25","4,166,579","63,614,672","15.30","15.35","15.20","15.35","+0.05","1,177",
"104/02/26","4,383,664","66,897,083","15.20","15.30","15.15","15.30","-0.05","1,099",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

