"107年05月 3682 亞太電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/05/02","2,962,031","25,826,793","8.74","8.76","8.67","8.74","-0.06","1,151",
"107/05/03","2,985,500","25,709,176","8.66","8.75","8.55","8.55","-0.19","1,094",
"107/05/04","2,991,016","25,917,324","8.55","8.76","8.55","8.57","+0.02","916",
"107/05/07","5,140,355","44,241,353","8.60","8.66","8.53","8.58","+0.01","1,053",
"107/05/08","2,177,505","18,724,339","8.56","8.65","8.56","8.61","+0.03","746",
"107/05/09","2,532,297","21,793,265","8.61","8.66","8.58","8.60","-0.01","608",
"107/05/10","2,936,500","25,148,230","8.56","8.61","8.53","8.53","-0.07","833",
"107/05/11","10,086,724","88,042,825","8.56","8.85","8.56","8.75","+0.22","1,866",
"107/05/14","3,497,150","30,528,310","8.75","8.79","8.70","8.71","-0.04","1,060",
"107/05/15","13,872,568","118,268,212","8.77","8.79","8.15","8.15","-0.56","3,835",
"107/05/16","24,174,569","192,883,648","8.20","8.26","7.80","7.99","-0.16","5,836",
"107/05/17","5,510,886","44,128,707","7.99","8.08","7.95","7.99"," 0.00","1,431",
"107/05/18","4,489,429","36,313,500","8.00","8.14","8.00","8.10","+0.11","1,237",
"107/05/21","6,255,590","51,273,977","8.14","8.27","8.14","8.21","+0.11","1,162",
"107/05/22","2,838,721","23,360,493","8.29","8.29","8.19","8.21"," 0.00","823",
"107/05/23","23,640,454","197,971,009","8.25","8.60","8.14","8.30","+0.09","4,935",
"107/05/24","5,903,804","48,969,785","8.32","8.35","8.27","8.28","-0.02","2,227",
"107/05/25","9,250,502","75,255,802","8.29","8.30","8.08","8.08","-0.20","3,156",
"107/05/28","7,414,624","59,549,564","8.10","8.15","8.00","8.01","-0.07","2,782",
"107/05/29","29,508,464","248,511,180","8.20","8.76","8.18","8.47","+0.46","6,792",
"107/05/30","14,319,023","120,267,269","8.47","8.57","8.33","8.33","-0.14","4,363",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

