"108年01月 3711 日月光投控       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/01/02","11,621,170","660,446,839","57.70","57.70","56.50","56.50","-1.80","4,994",
"108/01/03","14,270,437","790,941,595","54.80","56.60","54.00","56.00","-0.50","5,171",
"108/01/04","6,542,754","360,335,804","55.00","55.50","54.60","55.20","-0.80","3,015",
"108/01/07","8,979,815","496,166,346","55.70","55.70","55.00","55.00","-0.20","4,332",
"108/01/08","3,775,871","208,624,061","55.40","55.50","55.10","55.20","+0.20","2,314",
"108/01/09","8,833,251","496,045,514","55.50","56.60","55.30","56.30","+1.10","4,253",
"108/01/10","3,647,816","207,147,312","56.50","57.00","56.30","57.00","+0.70","1,886",
"108/01/11","5,031,521","288,697,448","57.20","57.70","56.80","57.60","+0.60","2,455",
"108/01/14","3,483,333","200,018,733","57.80","58.20","57.00","57.30","-0.30","1,690",
"108/01/15","7,951,325","463,008,261","57.40","58.60","57.30","58.60","+1.30","3,661",
"108/01/16","5,289,744","309,957,631","58.60","59.00","58.10","58.60"," 0.00","2,904",
"108/01/17","4,185,744","243,918,552","58.70","59.10","57.60","58.10","-0.50","2,227",
"108/01/18","4,046,007","237,569,398","58.80","59.00","58.40","58.80","+0.70","2,009",
"108/01/21","4,121,143","244,482,579","59.30","60.00","58.80","58.80"," 0.00","2,152",
"108/01/22","4,758,407","279,161,525","58.50","59.00","58.20","58.50","-0.30","1,408",
"108/01/23","2,861,067","167,092,841","58.40","58.90","58.00","58.30","-0.20","1,585",
"108/01/24","2,080,699","121,891,778","58.60","58.80","58.30","58.70","+0.40","1,272",
"108/01/25","9,302,191","560,494,976","59.80","60.60","59.40","60.50","+1.80","4,265",
"108/01/28","2,286,889","138,102,204","60.50","60.80","60.10","60.50"," 0.00","1,349",
"108/01/29","4,743,095","282,571,771","60.20","60.20","59.00","59.90","-0.60","2,362",
"108/01/30","6,035,231","361,484,954","60.10","60.40","59.20","60.00","+0.10","2,339",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

