"9508る 4904 环肚             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 95/08/01","5,729,600","207,615,300","36.35","36.35","36.15","36.25","-0.10","1,529",
" 95/08/02","4,811,247","174,025,492","36.25","36.25","36.10","36.15","-0.10","914",
" 95/08/03","9,449,630","334,864,380","36.00","36.00","34.90","35.40","-0.75","2,093",
" 95/08/04","3,941,818","138,669,846","35.40","35.40","34.95","35.20","-0.20","812",
" 95/08/07","6,886,787","242,204,895","35.00","35.25","35.00","35.10","-0.10","1,421",
" 95/08/08","5,493,731","193,570,657","35.20","35.30","35.10","35.25","+0.15","1,159",
" 95/08/09","2,725,898","95,741,817","35.20","35.20","35.00","35.10","-0.15","624",
" 95/08/10","7,871,000","276,273,596","35.10","35.25","35.00","35.10"," 0.00","1,112",
" 95/08/11","5,906,715","206,435,337","35.20","35.20","34.85","35.00","-0.10","1,416",
" 95/08/14","1,742,117","61,720,865","35.20","35.60","35.15","35.50","+0.50","612",
" 95/08/15","2,898,337","101,595,577","35.10","35.15","35.00","35.10","-0.40","733",
" 95/08/16","3,339,850","117,964,681","35.20","35.40","35.20","35.30","+0.20","532",
" 95/08/17","3,161,538","113,004,674","35.60","35.95","35.50","35.85","+0.55","927",
" 95/08/18","9,668,943","348,086,403","36.00","36.05","35.95","36.00","+0.15","598",
" 95/08/21","5,113,312","184,102,318","36.00","36.20","35.90","36.00"," 0.00","558",
" 95/08/22","1,722,832","61,858,783","36.10","36.10","35.50","35.80","-0.20","305",
" 95/08/23","1,767,314","63,145,642","35.80","36.00","35.50","35.90","+0.10","285",
" 95/08/24","3,148,520","113,817,343","35.90","36.35","35.80","36.25","+0.35","636",
" 95/08/25","6,625,839","241,485,620","36.00","36.65","36.00","36.50","+0.25","797",
" 95/08/28","2,261,662","81,573,329","36.50","36.50","36.00","36.05","-0.45","478",
" 95/08/29","2,084,100","74,422,625","36.05","36.10","35.40","36.05"," 0.00","495",
" 95/08/30","2,686,607","96,739,627","36.05","36.10","35.80","35.85","-0.20","385",
" 95/08/31","17,323,781","608,785,450","35.95","35.95","34.80","35.60","-0.25","2,449",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

