"9207る 4906 タゅ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 92/07/01","1,121,502","86,226,827","75.50","77.50","75.50","77.00","+1.50","485",
" 92/07/02","3,949,857","315,197,259","78.50","81.50","78.50","79.50","+2.50","1,436",
" 92/07/03","3,994,118","321,727,333","81.50","81.50","78.00","78.50","-1.00","1,246",
" 92/07/04","2,127,900","167,460,790","80.00","80.00","77.50","79.00","+0.50","717",
" 92/07/07","6,269,032","514,315,515","80.00","84.50","78.50","84.50","+5.50","2,478",
" 92/07/08","6,890,874","603,251,112","87.00","89.50","85.50","88.00","+3.50","2,462",
" 92/07/09","2,830,892","244,406,161","88.00","88.00","85.00","86.00","-2.00","1,166",
" 92/07/10","2,575,355","224,597,440","85.00","89.00","85.00","86.00"," 0.00","999",
" 92/07/11","1,688,200","145,572,114","85.00","88.00","84.50","88.00","+2.00","741",
" 92/07/14","3,016,350","268,434,145","89.00","90.00","87.50","88.50","+0.50","1,184",
" 92/07/15","2,718,000","246,120,049","90.00","91.50","89.00","89.00","+0.50","1,084",
" 92/07/16","2,759,010","246,684,885","90.00","91.00","88.00","88.00","-1.00","1,146",
" 92/07/17","3,404,700","291,537,792","87.50","87.50","84.00","84.00","-4.00","1,444",
" 92/07/18","1,201,200","100,972,716","84.00","85.50","83.00","84.00"," 0.00","599",
" 92/07/21","1,035,450","87,359,610","85.00","86.00","83.50","83.50","-0.50","476",
" 92/07/22","563,100","47,287,307","84.50","85.00","83.50","84.00","+0.50","304",
" 92/07/23","1,133,450","96,934,611","85.00","86.50","84.50","84.50","+0.50","612",
" 92/07/24","1,084,000","93,148,500","85.00","87.00","85.00","86.50","+2.00","563",
" 92/07/25","4,081,048","365,525,130","86.50","91.00","86.00","89.00","+2.50","1,584",
" 92/07/28","4,131,151","383,638,869","92.00","94.50","91.00","92.00","+3.00","1,562",
" 92/07/29","2,309,456","205,228,279","92.00","92.00","87.50","88.00","-4.00","879",
" 92/07/30","1,626,240","143,028,573","88.00","89.50","86.50","89.00","+1.00","613",
" 92/07/31","1,332,000","116,665,000","88.50","90.00","86.00","87.00","-2.00","542",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

