"106年09月 4906 正文             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/09/01","11,577,672","271,257,865","22.70","23.80","22.60","23.75","+1.25","4,791",
"106/09/04","5,981,356","139,510,922","23.80","23.80","23.05","23.10","-0.65","2,596",
"106/09/05","4,352,051","101,687,536","23.00","23.60","22.90","23.35","+0.25","1,821",
"106/09/06","4,480,470","102,459,213","23.20","23.25","22.60","22.75","-0.60","2,246",
"106/09/07","2,694,127","61,394,265","22.75","23.00","22.60","22.60","-0.15","1,363",
"106/09/08","2,445,832","55,633,294","22.60","22.90","22.60","22.65","+0.05","1,291",
"106/09/11","15,189,625","360,201,045","22.95","24.30","22.90","24.30","+1.65","5,345",
"106/09/12","27,299,155","685,601,010","24.50","25.45","24.50","25.10","+0.80","9,414",
"106/09/13","13,088,614","327,280,849","25.10","25.80","24.60","24.80","-0.30","5,091",
"106/09/14","5,887,790","144,630,066","24.55","24.90","24.30","24.55","-0.25","2,233",
"106/09/15","9,474,529","231,772,378","24.70","24.85","24.15","24.35","-0.20","3,159",
"106/09/18","14,992,425","372,907,948","24.60","25.35","24.30","25.25","+0.90","4,341",
"106/09/19","19,830,754","507,101,466","25.35","26.25","25.05","25.20","-0.05","7,545",
"106/09/20","8,667,158","213,243,504","25.05","25.20","24.20","24.50","-0.70","3,550",
"106/09/21","4,422,006","108,243,941","24.75","24.75","24.35","24.35","-0.15","1,868",
"106/09/22","6,957,202","166,478,731","24.35","24.70","23.40","23.50","-0.85","2,956",
"106/09/25","5,495,065","126,253,324","23.65","23.80","22.65","22.90","-0.60","2,610",
"106/09/26","4,557,488","106,034,374","23.10","23.55","23.00","23.10","+0.20","2,058",
"106/09/27","3,503,826","81,297,233","23.20","23.45","23.00","23.35","+0.25","1,296",
"106/09/28","4,700,155","110,131,374","23.45","23.60","23.15","23.25","-0.10","1,659",
"106/09/29","8,722,861","208,217,472","23.40","24.20","23.20","23.90","+0.65","3,801",
"106/09/30","6,667,467","162,798,575","24.30","24.85","24.05","24.80","+0.90","2,739",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

