"10011る 4938 ㎝河             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/11/01","6,078,862","195,024,491","32.10","32.45","31.80","31.85","-0.95","2,561",
"100/11/02","7,295,488","238,480,721","31.50","33.80","30.75","33.60","+1.75","3,326",
"100/11/03","6,154,070","202,805,229","33.70","33.70","32.40","33.10","-0.50","3,277",
"100/11/04","4,991,399","167,507,798","33.50","33.90","33.20","33.45","+0.35","2,500",
"100/11/07","2,406,744","79,376,205","33.00","33.30","32.80","32.80","-0.65","1,063",
"100/11/08","6,124,834","202,081,719","32.90","33.90","31.80","31.95","-0.85","2,803",
"100/11/09","2,963,763","96,223,496","32.10","33.00","32.05","32.05","+0.10","1,485",
"100/11/10","8,091,614","249,223,820","31.40","31.95","30.05","30.10","-1.95","3,356",
"100/11/11","6,845,699","215,535,619","30.50","32.20","30.30","31.40","+1.30","2,911",
"100/11/14","5,111,865","161,582,687","31.90","32.15","31.05","31.50","+0.10","1,968",
"100/11/15","2,784,517","88,579,035","31.50","32.15","31.45","31.55","+0.05","1,266",
"100/11/16","3,844,097","122,211,678","32.50","32.50","31.50","31.50","-0.05","1,822",
"100/11/17","2,750,948","86,232,305","31.00","31.55","30.80","31.40","-0.10","1,441",
"100/11/18","2,588,150","80,231,353","30.80","31.40","30.60","30.95","-0.45","1,567",
"100/11/21","6,727,180","199,986,144","30.45","30.70","28.85","29.70","-1.25","3,472",
"100/11/22","4,541,321","136,167,330","29.55","30.70","29.20","30.05","+0.35","2,260",
"100/11/23","5,007,166","144,648,553","30.00","30.00","27.95","27.95","-2.10","2,745",
"100/11/24","4,325,114","119,394,215","27.60","28.30","27.05","27.15","-0.80","2,482",
"100/11/25","4,749,071","130,744,860","27.15","28.30","26.90","27.20","+0.05","2,380",
"100/11/28","5,963,933","169,424,204","28.00","29.10","27.90","29.10","+1.90","1,747",
"100/11/29","9,959,940","293,853,435","30.00","30.00","29.00","29.05","-0.05","3,573",
"100/11/30","12,154,473","374,437,518","29.80","31.05","29.40","31.05","+2.00","4,263",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

