"107年01月 4938 和碩             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/01/02","5,302,051","381,649,156","72.00","72.30","71.50","72.10","+0.10","3,071",
"107/01/03","9,724,656","704,855,840","72.50","72.90","72.20","72.60","+0.50","4,630",
"107/01/04","10,297,434","740,564,348","72.60","72.80","71.60","71.90","-0.70","4,578",
"107/01/05","9,556,840","685,025,980","72.00","72.20","71.10","72.00","+0.10","4,225",
"107/01/08","8,788,313","632,770,936","72.20","72.20","71.80","72.00"," 0.00","4,599",
"107/01/09","8,847,615","637,856,080","72.10","72.40","71.70","72.20","+0.20","3,750",
"107/01/10","5,699,761","410,611,801","72.20","72.50","71.60","72.50","+0.30","2,256",
"107/01/11","8,543,447","617,358,104","72.00","72.80","71.30","72.50"," 0.00","3,453",
"107/01/12","15,792,930","1,178,297,650","73.00","75.40","72.90","75.10","+2.60","8,297",
"107/01/15","6,899,794","517,917,950","75.40","75.60","74.30","75.10"," 0.00","3,554",
"107/01/16","5,891,803","442,560,942","75.10","75.50","74.40","75.50","+0.40","3,333",
"107/01/17","12,867,550","985,068,169","75.30","77.30","75.00","77.10","+1.60","6,400",
"107/01/18","12,004,544","926,999,632","77.10","77.70","76.60","76.70","-0.40","5,971",
"107/01/19","8,487,143","653,689,597","77.10","77.40","76.50","77.30","+0.60","3,971",
"107/01/22","9,200,130","705,494,018","77.00","77.40","76.00","77.40","+0.10","4,990",
"107/01/23","10,757,005","839,355,167","77.70","78.60","77.40","78.00","+0.60","4,618",
"107/01/24","6,339,071","491,560,087","78.00","78.00","77.10","77.60","-0.40","3,467",
"107/01/25","12,152,367","955,728,123","77.60","79.10","77.50","79.00","+1.40","6,566",
"107/01/26","7,095,367","556,629,826","79.00","79.10","77.80","78.40","-0.60","3,937",
"107/01/29","10,820,054","847,925,950","79.00","79.10","78.00","78.50","+0.10","3,396",
"107/01/30","25,185,478","2,023,866,296","79.10","81.90","78.50","79.90","+1.40","10,473",
"107/01/31","7,958,073","629,259,267","79.40","80.00","78.20","79.00","-0.90","4,332",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

