"10502る 4958 坎供-KY          らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/02/01","3,993,197","284,356,287","72.40","72.40","70.60","71.00","-1.40","2,651",
"105/02/02","3,852,635","269,190,003","70.50","71.00","69.10","69.10","-1.90","2,542",
"105/02/03","2,878,107","197,392,083","68.50","69.30","67.50","68.80","-0.30","2,016",
"105/02/15","2,537,459","176,053,298","67.50","70.20","67.50","69.50","+0.70","1,810",
"105/02/16","2,761,098","194,781,167","70.00","71.20","69.20","71.10","+1.60","1,837",
"105/02/17","2,862,500","200,610,748","71.10","71.10","69.40","69.50","-1.60","1,939",
"105/02/18","2,252,593","158,865,705","70.60","70.90","70.00","70.50","+1.00","1,423",
"105/02/19","1,823,186","128,718,887","70.00","71.20","69.90","70.70","+0.20","1,350",
"105/02/22","1,693,500","119,765,600","70.50","71.30","70.20","70.50","-0.20","1,243",
"105/02/23","2,272,154","161,699,324","70.60","71.80","70.50","71.60","+1.10","1,599",
"105/02/24","4,249,265","298,853,050","71.80","71.80","69.30","69.80","-1.80","2,541",
"105/02/25","6,227,105","446,008,850","69.80","73.40","69.80","71.90","+2.10","2,628",
"105/02/26","2,436,787","173,644,876","71.20","71.90","70.50","71.90"," 0.00","1,481",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

