"108年02月 4958 臻鼎-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/02/11","6,130,472","495,496,221","80.00","81.50","79.70","81.40","+2.40","3,651",
"108/02/12","8,015,602","666,365,163","81.10","84.90","81.00","82.50","+1.10","4,858",
"108/02/13","4,464,407","367,397,476","81.70","83.00","81.50","82.60","+0.10","2,817",
"108/02/14","5,306,450","442,155,404","82.00","84.50","82.00","83.00","+0.40","3,423",
"108/02/15","9,670,718","819,635,506","82.90","86.30","82.60","84.80","+1.80","5,244",
"108/02/18","4,718,616","398,580,713","84.30","85.40","83.40","84.60","-0.20","2,790",
"108/02/19","4,960,328","418,132,574","84.00","86.00","83.80","85.50","+0.90","2,120",
"108/02/20","9,961,725","882,591,862","90.00","91.50","86.40","88.20","+2.70","5,979",
"108/02/21","5,852,346","507,930,827","87.00","87.70","86.00","86.60","-1.60","3,502",
"108/02/22","5,378,814","467,290,877","86.90","87.50","86.40","87.10","+0.50","3,119",
"108/02/25","8,806,628","785,451,202","87.50","90.20","87.50","89.50","+2.40","4,894",
"108/02/26","21,146,895","1,945,253,887","89.60","94.80","89.00","91.50","+2.00","11,572",
"108/02/27","9,006,297","802,819,703","90.00","90.70","88.20","89.40","-2.10","4,652",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

