"103年12月 5264 鎧勝-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"103/12/01","1,358,839","260,008,845","188.00","193.00","188.00","193.00","+1.50","944",
"103/12/02","1,780,661","338,793,241","191.50","193.00","189.50","190.50","-2.50","1,325",
"103/12/03","2,071,050","400,826,900","191.00","196.00","191.00","193.00","+2.50","1,522",
"103/12/04","1,725,105","332,457,660","194.50","195.00","191.50","191.50","-1.50","1,072",
"103/12/05","1,584,496","304,240,240","192.00","194.00","190.00","190.00","-1.50","1,216",
"103/12/08","2,872,754","557,726,915","191.00","197.00","190.50","194.00","+4.00","2,083",
"103/12/09","2,946,400","572,582,899","194.50","197.00","192.00","192.00","-2.00","2,292",
"103/12/10","1,144,752","218,801,253","191.50","193.50","190.00","190.50","-1.50","880",
"103/12/11","1,617,019","307,253,610","190.00","192.00","188.50","189.00","-1.50","1,169",
"103/12/12","708,137","134,973,030","190.00","191.50","190.00","190.00","+1.00","612",
"103/12/15","2,454,230","453,498,084","188.00","189.00","183.00","184.00","-6.00","1,748",
"103/12/16","2,646,685","478,099,326","184.00","185.00","179.00","180.00","-4.00","1,883",
"103/12/17","1,408,525","254,873,575","181.00","183.00","179.00","182.00","+2.00","1,054",
"103/12/18","1,424,818","262,728,419","184.00","185.50","183.50","183.50","+1.50","970",
"103/12/19","2,703,252","486,439,981","185.00","186.50","172.00","177.00","-6.50","1,876",
"103/12/22","1,345,770","244,078,450","179.00","184.00","179.00","183.50","+6.50","1,240",
"103/12/23","988,500","178,165,500","183.50","183.50","179.00","179.50","-4.00","771",
"103/12/24","2,658,000","469,028,500","179.50","179.50","175.00","177.50","-2.00","1,989",
"103/12/25","1,189,200","211,977,600","178.00","179.50","177.00","178.00","+0.50","760",
"103/12/26","810,320","143,986,620","178.00","179.00","176.50","179.00","+1.00","516",
"103/12/27","423,300","76,135,850","179.50","180.50","178.50","180.00","+1.00","326",
"103/12/29","770,706","138,946,520","181.00","181.50","179.00","179.00","-1.00","550",
"103/12/30","749,107","135,394,812","180.50","181.50","180.00","181.00","+2.00","506",
"103/12/31","614,290","110,458,343","181.50","181.50","179.00","179.50","-1.50","490",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

