"9802る 5522 环动             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 98/02/02","3,395,894","74,198,354","21.80","22.10","21.60","21.85","+0.05","1,009",
" 98/02/03","8,464,000","195,001,550","22.10","23.35","22.10","23.35","+1.50","2,068",
" 98/02/04","10,124,494","238,279,459","23.70","24.20","22.60","22.60","-0.75","3,228",
" 98/02/05","7,997,305","180,268,715","22.10","23.05","22.10","22.40","-0.20","2,842",
" 98/02/06","7,690,120","176,288,299","22.55","23.35","22.50","22.50","+0.10","2,551",
" 98/02/09","6,749,688","153,537,384","22.95","23.20","22.25","22.40","-0.10","2,011",
" 98/02/10","2,809,999","63,485,576","22.90","22.90","22.25","22.90","+0.50","1,118",
" 98/02/11","7,055,125","156,492,923","22.30","22.55","21.80","22.25","-0.65","2,290",
" 98/02/12","4,870,722","107,554,266","22.25","22.60","21.50","21.50","-0.75","1,839",
" 98/02/13","3,429,600","75,628,280","21.80","22.30","21.80","22.30","+0.80","1,338",
" 98/02/16","4,547,123","102,381,170","22.30","22.85","22.05","22.60","+0.30","1,755",
" 98/02/17","3,166,281","70,201,357","22.45","22.70","21.85","21.90","-0.70","1,106",
" 98/02/18","3,304,943","71,028,756","21.50","21.75","21.20","21.60","-0.30","1,196",
" 98/02/19","2,756,999","59,856,527","21.30","21.95","21.30","21.70","+0.10","1,094",
" 98/02/20","5,201,000","108,719,999","21.40","21.60","20.50","20.50","-1.20","1,970",
" 98/02/23","5,958,519","117,052,429","20.00","20.20","19.20","19.75","-0.75","2,238",
" 98/02/24","3,565,673","69,840,690","19.20","19.85","19.20","19.65","-0.10","1,109",
" 98/02/25","4,194,025","84,637,260","19.95","20.55","19.90","20.00","+0.35","1,582",
" 98/02/26","3,153,030","64,092,499","20.40","20.65","20.00","20.00"," 0.00","1,190",
" 98/02/27","2,490,567","50,134,260","20.30","20.30","19.85","20.30","+0.30","881",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

