"107年02月 5522 遠雄             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/02/01","292,622","9,424,927","32.35","32.35","32.15","32.20","+0.05","193",
"107/02/02","288,677","9,347,717","32.20","32.60","32.10","32.50","+0.30","227",
"107/02/05","563,650","18,152,207","32.20","32.40","32.10","32.20","-0.30","350",
"107/02/06","1,735,200","53,643,700","31.70","31.90","30.40","30.85","-1.35","1,064",
"107/02/07","1,292,021","40,134,701","31.15","31.45","30.55","30.55","-0.30","914",
"107/02/08","632,644","19,828,877","30.65","31.80","30.65","31.60","+1.05","482",
"107/02/09","1,047,000","32,719,198","30.90","31.95","30.65","31.95","+0.35","637",
"107/02/12","768,463","24,643,149","32.15","32.20","31.90","32.05","+0.10","581",
"107/02/21","770,212","24,785,470","32.30","32.35","31.95","32.20","+0.15","502",
"107/02/22","293,000","9,448,949","32.25","32.45","32.10","32.35","+0.15","227",
"107/02/23","306,289","9,865,898","32.35","32.35","32.05","32.30","-0.05","235",
"107/02/26","393,885","12,763,111","32.40","32.50","32.25","32.50","+0.20","246",
"107/02/27","426,947","13,831,777","32.50","32.55","32.25","32.45","-0.05","330",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

