"99年01月 5608 四維航           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 99/01/04","1,532,912","69,894,894","46.20","46.20","45.05","45.85","-0.10","819",
" 99/01/05","5,474,801","258,223,044","45.95","48.05","45.95","46.55","+0.70","2,611",
" 99/01/06","2,666,635","124,532,277","47.10","47.20","46.50","46.70","+0.15","1,137",
" 99/01/07","1,931,466","89,030,035","46.70","46.75","45.60","45.60","-1.10","1,028",
" 99/01/08","1,120,409","51,106,677","45.70","45.90","45.10","45.85","+0.25","628",
" 99/01/11","1,302,141","60,097,424","46.05","46.50","45.85","46.15","+0.30","671",
" 99/01/12","1,715,320","78,980,870","46.20","46.60","45.80","46.00","-0.15","567",
" 99/01/13","4,147,237","194,286,543","46.20","47.20","46.10","46.90","+0.90","1,875",
" 99/01/14","1,680,193","78,707,679","47.20","47.25","46.60","46.80","-0.10","852",
" 99/01/15","1,655,621","77,826,092","47.00","47.30","46.80","46.85","+0.05","867",
" 99/01/18","1,396,013","65,176,095","46.85","47.00","46.40","46.80","-0.05","675",
" 99/01/19","1,594,995","74,159,059","47.00","47.00","46.00","46.00","-0.80","735",
" 99/01/20","991,906","45,657,714","46.15","46.30","45.85","45.90","X0.00","572",
" 99/01/21","1,022,675","46,509,953","45.80","45.90","45.15","45.20","-0.70","580",
" 99/01/22","857,933","38,316,317","44.80","45.05","44.50","44.60","-0.60","512",
" 99/01/25","811,355","35,865,984","44.10","44.50","44.10","44.10","-0.50","511",
" 99/01/26","2,200,686","95,355,527","44.00","44.30","42.20","42.30","-1.80","1,186",
" 99/01/27","1,282,718","53,742,826","42.30","42.50","41.60","41.60","-0.70","698",
" 99/01/28","713,742","29,957,125","41.60","42.30","41.60","42.10","+0.50","478",
" 99/01/29","1,187,330","49,232,831","42.10","42.10","41.00","41.50","-0.60","749",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

