"9311る 5854 畐             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 93/11/17","2,000","35,800","17.90","17.90","17.90","17.90","X0.00","2",
" 93/11/18","1,000","19,100","19.10","19.10","19.10","19.10","+1.20","1",
" 93/11/19","3,000","61,200","20.40","20.40","20.40","20.40","+1.30","3",
" 93/11/22","3,000","65,400","21.80","21.80","21.80","21.80","+1.40","3",
" 93/11/23","20,000","466,000","23.30","23.30","23.30","23.30","+1.50","18",
" 93/11/24","249,000","6,200,100","24.90","24.90","24.90","24.90","+1.60","124",
" 93/11/25","13,564,500","360,814,785","26.60","26.60","26.60","26.60","+1.70","2,801",
" 93/11/26","42,312,265","1,166,699,606","26.60","28.30","26.60","27.50","+0.90","9,380",
" 93/11/29","11,307,270","309,100,160","27.40","27.90","26.80","27.10","-0.40","2,270",
" 93/11/30","24,902,557","700,029,405","27.20","28.90","27.00","28.40","+1.30","3,256",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

