"10409る 5871 い-KY          らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/09/01","5,667,614","296,195,159","52.30","53.40","51.60","51.80","-0.50","2,845",
"104/09/02","4,631,874","237,003,678","51.00","51.50","50.70","51.10","-0.70","3,142",
"104/09/03","4,676,168","238,211,068","51.20","51.70","50.50","50.80","-0.30","2,852",
"104/09/04","4,928,457","249,966,793","50.70","51.50","50.10","50.30","-0.50","2,493",
"104/09/07","3,308,093","165,259,057","50.00","50.30","49.70","49.85","-0.45","2,157",
"104/09/08","2,768,750","138,682,479","49.85","50.40","49.80","49.95","+0.10","1,660",
"104/09/09","10,270,981","545,652,725","51.20","54.40","51.10","53.90","+3.95","5,768",
"104/09/10","10,777,555","591,099,556","53.60","56.40","53.20","55.20","+1.30","5,618",
"104/09/11","5,813,178","318,662,362","54.80","55.70","54.40","55.20"," 0.00","3,483",
"104/09/14","3,902,886","212,578,274","55.20","55.40","54.00","54.30","-0.90","2,497",
"104/09/15","4,268,302","228,254,968","54.30","54.40","53.00","53.80","-0.50","2,513",
"104/09/16","2,791,736","150,207,144","54.10","54.40","53.40","53.80"," 0.00","1,761",
"104/09/17","5,449,135","300,014,625","54.40","55.60","54.30","55.00","+1.20","3,353",
"104/09/18","4,423,221","244,534,208","55.30","55.90","54.70","55.10","+0.10","2,551",
"104/09/21","6,508,641","346,460,318","53.80","54.30","52.70","52.80","-2.30","3,501",
"104/09/22","3,264,701","173,568,593","53.00","53.50","52.90","53.50","+0.70","1,948",
"104/09/23","3,811,258","201,327,313","52.90","53.50","52.50","52.90","-0.60","2,258",
"104/09/24","4,908,648","262,677,395","53.80","54.30","53.00","53.20","+0.30","2,820",
"104/09/25","12,532,284","651,833,332","53.00","53.30","51.20","52.40","-0.80","3,236",
"104/09/30","6,065,057","312,555,932","51.50","52.00","51.00","51.50","-0.90","3,055",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

