"107年05月 5871 中租-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/05/02","3,630,059","394,842,892","109.50","110.00","107.50","108.50","-0.50","2,086",
"107/05/03","5,279,854","561,003,024","108.00","108.00","105.00","105.50","-3.00","2,897",
"107/05/04","3,041,169","320,942,914","105.50","107.00","104.50","106.00","+0.50","1,867",
"107/05/07","3,658,001","393,013,607","107.00","109.00","106.50","107.00","+1.00","1,952",
"107/05/08","3,658,306","392,433,383","107.00","108.00","106.00","108.00","+1.00","2,107",
"107/05/09","5,011,390","548,765,193","108.00","111.00","108.00","109.50","+1.50","2,758",
"107/05/10","10,568,285","1,157,740,265","110.00","111.00","107.50","109.00","-0.50","3,866",
"107/05/11","9,886,550","1,097,958,391","110.00","112.00","109.50","112.00","+3.00","3,602",
"107/05/14","4,482,681","503,089,272","113.50","113.50","111.00","112.50","+0.50","2,561",
"107/05/15","5,069,914","559,350,510","111.00","111.50","109.50","110.00","-2.50","2,691",
"107/05/16","2,515,663","276,390,930","110.00","111.00","109.00","110.00"," 0.00","1,620",
"107/05/17","4,871,428","525,872,224","110.50","110.50","106.50","108.00","-2.00","2,563",
"107/05/18","3,590,877","382,877,839","108.00","108.50","106.00","106.00","-2.00","1,508",
"107/05/21","3,817,984","407,383,788","105.50","108.00","105.50","107.00","+1.00","1,922",
"107/05/22","3,188,409","341,271,959","107.00","108.00","106.50","107.50","+0.50","1,401",
"107/05/23","2,929,086","317,919,968","108.00","109.50","107.50","108.50","+1.00","1,682",
"107/05/24","4,772,781","523,445,848","111.00","112.00","108.00","108.00","-0.50","2,650",
"107/05/25","2,039,140","222,477,260","108.50","110.00","108.00","109.00","+1.00","1,424",
"107/05/28","2,086,428","227,325,930","109.50","110.50","108.00","108.50","-0.50","1,227",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

