"10205る 5880 畐           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/05/02","4,586,007","77,570,129","16.95","16.95","16.85","16.95"," 0.00","2,159",
"102/05/03","5,750,187","97,386,794","17.00","17.00","16.90","16.95"," 0.00","2,078",
"102/05/06","5,073,376","86,011,172","17.00","17.05","16.90","17.00","+0.05","1,323",
"102/05/07","3,759,890","63,854,762","17.00","17.00","16.90","17.00"," 0.00","1,063",
"102/05/08","9,111,244","155,148,047","17.00","17.10","16.95","17.05","+0.05","2,282",
"102/05/09","6,440,199","109,973,133","17.10","17.10","17.00","17.10","+0.05","1,395",
"102/05/10","6,958,497","118,546,149","17.10","17.10","16.95","17.05","-0.05","1,651",
"102/05/13","6,125,294","104,114,355","17.05","17.05","16.95","16.95","-0.10","1,013",
"102/05/14","6,765,484","115,000,721","17.00","17.05","16.95","17.00","+0.05","1,590",
"102/05/15","5,606,437","95,598,379","17.00","17.10","17.00","17.10","+0.10","1,360",
"102/05/16","15,981,151","275,287,350","17.15","17.30","17.10","17.30","+0.20","3,489",
"102/05/17","11,526,727","199,426,070","17.30","17.35","17.20","17.30"," 0.00","2,184",
"102/05/20","5,940,600","102,618,292","17.25","17.35","17.20","17.25","-0.05","1,425",
"102/05/21","8,143,769","141,041,570","17.25","17.40","17.25","17.35","+0.10","1,563",
"102/05/22","7,151,011","124,219,001","17.35","17.40","17.30","17.40","+0.05","2,057",
"102/05/23","15,011,477","258,641,617","17.40","17.40","17.15","17.15","-0.25","2,852",
"102/05/24","8,621,528","147,358,376","17.10","17.20","17.00","17.00","-0.15","1,657",
"102/05/27","6,051,964","103,268,110","17.00","17.15","17.00","17.10","+0.10","1,039",
"102/05/28","7,084,568","121,583,931","17.20","17.20","17.10","17.20","+0.10","1,618",
"102/05/29","5,937,832","102,299,221","17.20","17.30","17.15","17.30","+0.10","1,555",
"102/05/30","10,496,292","179,532,360","17.25","17.25","17.05","17.10","-0.20","1,827",
"102/05/31","29,260,617","505,316,768","17.10","17.35","17.05","17.35","+0.25","2,741",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

