"105年10月 5880 合庫金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/10/03","3,778,896","52,472,894","13.95","13.95","13.85","13.85"," 0.00","1,177",
"105/10/04","5,615,689","78,187,812","13.85","13.95","13.85","13.95","+0.10","1,817",
"105/10/05","3,048,764","42,417,938","13.90","13.95","13.85","13.95"," 0.00","1,018",
"105/10/06","5,165,076","71,753,553","13.95","13.95","13.85","13.90","-0.05","1,627",
"105/10/07","9,313,093","128,805,445","13.90","13.90","13.80","13.80","-0.10","3,208",
"105/10/11","8,894,816","123,350,919","13.90","13.90","13.80","13.90","+0.10","2,182",
"105/10/12","4,572,682","63,403,579","13.85","13.90","13.80","13.90"," 0.00","1,647",
"105/10/13","12,606,451","174,226,271","13.90","13.90","13.75","13.85","-0.05","3,599",
"105/10/14","5,911,730","81,502,752","13.80","13.85","13.75","13.75","-0.10","1,543",
"105/10/17","8,052,758","111,061,333","13.80","13.85","13.70","13.85","+0.10","2,089",
"105/10/18","4,264,128","58,992,783","13.85","13.85","13.80","13.85"," 0.00","1,253",
"105/10/19","6,804,321","94,326,802","13.85","13.90","13.80","13.85"," 0.00","1,621",
"105/10/20","4,245,692","58,822,808","13.85","13.90","13.80","13.90","+0.05","1,322",
"105/10/21","3,569,974","49,550,187","13.90","13.90","13.80","13.90"," 0.00","1,177",
"105/10/24","4,141,630","57,497,841","13.90","13.90","13.85","13.90"," 0.00","1,008",
"105/10/25","8,206,821","113,872,805","13.90","13.95","13.85","13.85","-0.05","1,675",
"105/10/26","6,478,343","89,913,926","13.85","13.90","13.85","13.90","+0.05","1,473",
"105/10/27","8,396,257","116,439,137","13.90","13.90","13.85","13.85","-0.05","2,214",
"105/10/28","4,938,913","68,770,593","13.90","13.95","13.85","13.95","+0.10","1,574",
"105/10/31","6,073,200","84,120,140","13.85","13.95","13.80","13.85","-0.10","1,914",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

