"101年04月 6005 群益證           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/04/02","1,458,260","16,347,465","11.25","11.35","11.10","11.10","-0.35","500",
"101/04/03","5,150,761","55,731,221","11.10","11.15","10.60","10.75","-0.35","1,143",
"101/04/05","2,897,181","30,260,189","10.50","10.55","10.30","10.45","-0.30","762",
"101/04/06","4,432,766","48,021,674","10.65","11.00","10.65","10.75","+0.30","1,200",
"101/04/09","2,969,705","32,051,984","10.80","10.90","10.60","10.75"," 0.00","831",
"101/04/10","1,946,748","21,217,266","10.90","11.00","10.80","10.90","+0.15","538",
"101/04/11","2,038,256","21,815,473","10.80","10.80","10.60","10.70","-0.20","748",
"101/04/12","2,074,321","22,182,156","10.75","10.75","10.60","10.65","-0.05","882",
"101/04/13","2,808,400","30,611,528","10.80","10.95","10.75","10.95","+0.30","895",
"101/04/16","2,424,640","26,467,566","10.75","11.05","10.70","10.90","-0.05","1,088",
"101/04/17","2,042,883","22,083,736","10.90","10.95","10.75","10.75","-0.15","1,059",
"101/04/18","2,654,583","28,696,550","10.90","10.90","10.70","10.85","+0.10","1,031",
"101/04/19","1,523,672","16,481,046","10.80","10.90","10.60","10.90","+0.05","417",
"101/04/20","1,878,587","20,352,381","10.85","10.95","10.70","10.70","-0.20","468",
"101/04/23","1,494,845","15,595,798","10.70","10.70","10.25","10.35","-0.35","551",
"101/04/24","1,136,348","11,748,840","10.30","10.45","10.25","10.40","+0.05","454",
"101/04/25","947,974","9,994,913","10.45","10.65","10.45","10.50","+0.10","315",
"101/04/26","2,352,637","24,615,403","10.70","10.70","10.30","10.40","-0.10","472",
"101/04/27","1,543,123","15,956,604","10.40","10.50","10.30","10.30","-0.10","460",
"101/04/30","815,139","8,485,787","10.30","10.45","10.30","10.45","+0.15","238",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

