"99年03月 6116 彩晶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 99/03/01","16,437,369","107,600,077","6.42","6.65","6.41","6.60","+0.19","3,333",
" 99/03/02","15,195,602","100,058,419","6.67","6.67","6.53","6.55","-0.05","2,894",
" 99/03/03","13,874,205","90,222,143","6.55","6.60","6.45","6.50","-0.05","2,830",
" 99/03/04","15,731,162","101,554,708","6.50","6.55","6.40","6.43","-0.07","3,329",
" 99/03/05","18,302,358","119,175,901","6.46","6.55","6.45","6.52","+0.09","2,744",
" 99/03/08","26,634,134","177,254,392","6.55","6.72","6.52","6.71","+0.19","5,288",
" 99/03/09","23,709,574","160,418,297","6.71","6.92","6.63","6.82","+0.11","3,874",
" 99/03/10","16,017,831","108,869,693","6.80","6.86","6.76","6.76","-0.06","2,721",
" 99/03/11","17,847,436","121,275,852","6.82","6.89","6.70","6.74","-0.02","3,250",
" 99/03/12","14,495,476","98,291,492","6.80","6.84","6.72","6.78","+0.04","2,683",
" 99/03/15","13,434,333","91,011,142","6.81","6.86","6.67","6.67","-0.11","2,478",
" 99/03/16","10,375,690","69,637,907","6.66","6.77","6.66","6.71","+0.04","1,700",
" 99/03/17","36,297,201","244,544,086","6.66","6.84","6.65","6.79","+0.08","5,185",
" 99/03/18","47,144,342","330,139,159","6.87","7.17","6.82","7.10","+0.31","7,566",
" 99/03/19","36,330,284","257,967,440","7.10","7.19","7.01","7.13","+0.03","5,737",
" 99/03/22","24,948,825","175,387,750","7.11","7.15","6.99","7.01","-0.12","4,096",
" 99/03/23","19,442,117","136,656,544","7.05","7.10","6.98","6.98","-0.03","3,016",
" 99/03/24","38,741,914","276,714,157","7.05","7.30","7.01","7.01","+0.03","5,911",
" 99/03/25","22,426,133","155,008,653","6.95","6.99","6.84","6.92","-0.09","3,842",
" 99/03/26","18,055,216","125,118,563","6.92","7.03","6.85","6.92"," 0.00","3,584",
" 99/03/29","15,026,743","104,372,086","6.97","7.04","6.92","6.92"," 0.00","2,593",
" 99/03/30","29,043,504","203,154,536","6.95","7.09","6.92","7.09","+0.17","3,973",
" 99/03/31","44,715,110","314,339,984","7.09","7.10","6.95","7.00","-0.09","6,125",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

