"10303る 6176 风祸             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/03/03","6,755,178","816,331,038","121.50","122.00","120.00","120.50","-2.50","3,016",
"103/03/04","6,243,509","763,541,840","120.00","124.50","120.00","121.00","+0.50","3,870",
"103/03/05","5,278,875","648,269,176","123.00","124.00","121.00","122.50","+1.50","2,976",
"103/03/06","6,665,995","799,928,395","120.00","122.00","118.00","121.00","-1.50","4,226",
"103/03/07","4,926,096","591,338,866","122.00","122.50","118.00","119.00","-2.00","2,354",
"103/03/10","2,965,272","355,103,140","118.00","121.00","118.00","120.00","+1.00","1,954",
"103/03/11","1,471,439","176,763,180","120.00","121.00","119.50","120.50","+0.50","903",
"103/03/12","2,546,422","309,446,894","121.00","122.00","120.00","122.00","+1.50","1,400",
"103/03/13","7,588,573","954,054,698","124.00","127.50","123.00","126.50","+4.50","4,489",
"103/03/14","4,602,260","565,300,822","124.50","125.00","120.50","120.50","-6.00","3,013",
"103/03/17","3,907,544","469,140,280","120.50","122.00","119.50","119.50","-1.00","1,976",
"103/03/18","2,414,915","293,864,130","121.50","122.50","121.00","122.00","+2.50","1,595",
"103/03/19","2,213,638","267,149,376","123.50","123.50","119.50","120.00","-2.00","1,432",
"103/03/20","2,372,588","283,634,560","120.50","120.50","119.00","120.00"," 0.00","1,610",
"103/03/21","2,823,804","338,878,569","122.00","122.50","119.00","119.00","-1.00","1,471",
"103/03/24","2,891,440","345,471,740","119.00","121.00","117.50","121.00","+2.00","1,804",
"103/03/25","2,135,690","256,155,800","120.00","121.00","119.00","119.50","-1.50","1,462",
"103/03/26","3,006,457","360,534,011","120.00","121.50","119.00","121.50","+2.00","1,952",
"103/03/27","4,265,625","525,012,875","121.50","124.00","121.00","123.00","+1.50","2,468",
"103/03/28","3,210,737","387,586,292","123.00","124.00","119.00","120.50","-2.50","1,729",
"103/03/31","1,963,859","238,897,157","119.50","123.00","119.50","123.00","+2.50","1,303",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

