"106年09月 6176 瑞儀             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/09/01","2,757,178","208,155,616","76.10","76.40","75.20","75.30","-0.80","2,020",
"106/09/04","1,940,813","146,951,612","75.50","76.40","75.30","75.40","+0.10","1,373",
"106/09/05","1,474,575","111,881,279","76.10","76.30","75.60","75.80","+0.40","1,128",
"106/09/06","3,411,494","259,090,838","75.80","76.70","75.30","76.10","+0.30","2,103",
"106/09/07","4,777,729","367,896,372","77.30","77.40","76.50","77.10","+1.00","3,083",
"106/09/08","5,433,329","417,409,806","77.80","78.00","76.10","76.50","-0.60","3,232",
"106/09/11","2,906,706","221,542,461","77.40","77.40","75.50","75.60","-0.90","1,906",
"106/09/12","12,815,353","1,000,019,787","76.60","79.00","76.40","79.00","+3.40","7,521",
"106/09/13","18,066,653","1,432,231,234","81.00","82.20","76.80","76.90","-2.10","10,993",
"106/09/14","10,312,410","773,191,063","76.40","76.40","73.80","75.10","-1.80","6,437",
"106/09/15","6,919,951","514,059,443","74.80","75.70","73.50","74.20","-0.90","4,207",
"106/09/18","4,143,876","308,011,172","74.20","74.80","74.00","74.20"," 0.00","2,596",
"106/09/19","5,440,391","399,227,614","74.50","74.70","72.30","72.50","-1.70","3,371",
"106/09/20","9,321,119","662,871,550","71.70","72.00","70.70","71.00","-1.50","5,055",
"106/09/21","4,844,776","345,204,472","70.70","72.00","70.40","72.00","+1.00","3,080",
"106/09/22","6,620,734","466,319,939","71.50","71.50","69.70","70.40","-1.60","4,086",
"106/09/25","8,356,061","565,921,261","70.00","70.30","67.00","67.20","-3.20","5,439",
"106/09/26","5,932,977","407,495,422","67.30","69.50","67.30","68.30","+1.10","4,056",
"106/09/27","5,648,594","398,731,668","69.40","71.20","69.40","71.00","+2.70","3,691",
"106/09/28","3,514,446","248,786,073","71.50","71.60","70.10","71.50","+0.50","2,014",
"106/09/29","2,929,705","206,423,005","71.50","71.50","69.60","71.00","-0.50","1,762",
"106/09/30","992,815","70,674,869","70.80","71.60","70.80","71.20","+0.20","667",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

