"9702る 6269 皃             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 97/02/01","417,268","6,081,989","14.50","14.75","14.30","14.70","+0.20","119",
" 97/02/12","218,198","3,208,660","14.70","14.90","14.55","14.80","+0.10","60",
" 97/02/13","226,000","3,371,900","14.95","15.00","14.80","14.95","+0.15","126",
" 97/02/14","278,059","4,226,790","15.50","15.50","15.05","15.15","+0.20","132",
" 97/02/15","127,000","1,929,700","15.15","15.40","15.15","15.20","+0.05","42",
" 97/02/18","455,222","6,980,340","15.15","15.50","15.00","15.50","+0.30","164",
" 97/02/19","83,116","1,284,398","15.50","15.60","15.30","15.50"," 0.00","43",
" 97/02/20","265,059","4,036,696","15.40","15.65","15.00","15.30","-0.20","95",
" 97/02/21","719,797","11,108,483","15.45","15.80","15.10","15.70","+0.40","225",
" 97/02/22","199,000","3,094,550","15.65","15.70","15.45","15.65","-0.05","107",
" 97/02/25","448,000","6,951,800","15.50","15.75","15.30","15.65"," 0.00","133",
" 97/02/26","443,000","6,962,250","15.70","15.85","15.35","15.65"," 0.00","121",
" 97/02/27","698,000","10,896,850","15.60","15.80","15.40","15.50","-0.15","222",
" 97/02/29","853,234","12,948,353","15.45","15.75","15.00","15.45","-0.05","288",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

