"108年01月 6269 台郡             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/01/02","1,222,259","91,930,521","75.10","75.70","74.70","75.30","+0.80","890",
"108/01/03","6,914,643","494,378,908","75.00","75.20","69.00","70.60","-4.70","4,473",
"108/01/04","4,999,320","344,955,043","69.00","70.50","66.90","70.00","-0.60","3,237",
"108/01/07","1,916,033","136,664,541","71.70","72.10","70.60","71.00","+1.00","1,339",
"108/01/08","3,875,488","267,132,107","70.30","70.50","68.30","68.80","-2.20","2,866",
"108/01/09","8,917,494","614,720,323","67.40","70.50","66.80","70.00","+1.20","5,490",
"108/01/10","5,272,010","363,991,083","69.30","69.90","68.30","68.30","-1.70","3,535",
"108/01/11","2,719,013","186,656,982","68.30","69.20","68.20","68.50","+0.20","1,898",
"108/01/14","2,861,586","199,069,591","69.00","70.20","68.80","69.60","+1.10","1,939",
"108/01/15","2,735,954","190,859,581","69.40","70.20","69.10","69.80","+0.20","1,842",
"108/01/16","4,454,454","315,003,633","69.80","71.60","69.60","70.40","+0.60","3,118",
"108/01/17","6,341,846","457,844,358","71.20","73.60","70.70","73.00","+2.60","4,211",
"108/01/18","6,992,746","519,349,642","72.00","75.90","72.00","74.80","+1.80","4,257",
"108/01/21","3,193,317","237,479,907","74.90","75.60","73.60","73.90","-0.90","1,975",
"108/01/22","2,486,450","181,971,480","74.00","74.50","72.10","72.10","-1.80","1,772",
"108/01/23","2,617,237","189,798,179","72.60","73.50","71.80","72.40","+0.30","1,758",
"108/01/24","2,141,804","154,639,485","72.50","73.20","71.60","71.80","-0.60","1,372",
"108/01/25","2,912,500","212,629,794","72.00","73.60","72.00","73.20","+1.40","1,833",
"108/01/28","3,418,993","252,563,578","73.40","74.90","73.10","73.50","+0.30","1,952",
"108/01/29","4,045,396","299,722,515","73.40","74.70","72.60","74.50","+1.00","2,753",
"108/01/30","3,753,149","281,505,611","74.60","75.30","74.30","75.20","+0.70","2,196",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

