"93年07月 6285 啟碁             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 93/07/01","238,000","13,257,000","56.50","56.50","55.00","55.00","-1.50","152",
" 93/07/02","150,220","8,166,038","54.50","55.00","53.50","54.50","-0.50","104",
" 93/07/05","202,000","10,800,500","54.00","54.50","53.00","54.50"," 0.00","110",
" 93/07/06","197,100","10,946,922","54.50","57.00","53.50","57.00","+2.50","120",
" 93/07/07","148,009","8,221,508","55.00","56.00","55.00","55.50","-1.50","99",
" 93/07/08","170,000","9,429,500","55.00","56.00","55.00","55.50"," 0.00","86",
" 93/07/09","167,050","9,170,261","55.50","55.50","54.00","55.50"," 0.00","100",
" 93/07/12","159,000","8,747,000","55.50","56.00","54.00","54.50","-1.00","99",
" 93/07/13","157,303","8,442,428","54.00","54.00","53.50","53.50","-1.00","81",
" 93/07/14","177,200","9,380,145","53.50","53.50","52.00","52.00","-1.50","124",
" 93/07/15","235,000","12,003,500","51.50","52.00","50.50","51.00","-1.00","134",
" 93/07/16","602,530","32,082,891","52.00","54.50","51.50","52.00","+1.00","342",
" 93/07/19","365,000","18,897,000","52.00","53.00","50.50","51.00","-1.00","208",
" 93/07/20","405,048","19,883,335","51.00","51.00","47.60","47.70","-3.30","222",
" 93/07/21","424,000","20,794,700","48.00","49.90","48.00","48.70","+1.00","220",
" 93/07/22","279,000","13,365,000","48.00","48.70","46.50","48.70"," 0.00","161",
" 93/07/23","358,000","17,663,800","48.80","50.00","48.60","49.10","+0.40","227",
" 93/07/26","1,062,000","52,055,400","49.20","49.60","48.60","48.70","-0.40","492",
" 93/07/27","923,000","37,139,600","40.50","41.00","39.10","41.00","X0.00","493",
" 93/07/28","536,000","22,398,400","42.00","42.60","41.10","41.10","+0.10","326",
" 93/07/29","197,431","8,022,823","41.50","41.50","40.20","40.60","-0.50","106",
" 93/07/30","323,000","13,087,800","40.60","41.20","39.80","40.50","-0.10","161",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

