"9506る 6286 ミ繠             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 95/06/01","2,264,030","528,747,460","230.00","237.00","228.00","232.00","+5.00","1,384",
" 95/06/02","1,300,382","305,199,696","239.00","239.00","231.50","233.50","+1.50","842",
" 95/06/05","1,730,101","392,334,518","233.00","235.50","218.00","218.00","-15.50","1,010",
" 95/06/06","1,751,937","386,856,388","216.00","225.00","215.00","224.00","+6.00","1,182",
" 95/06/07","1,411,828","307,257,918","223.00","223.50","213.00","218.50","-5.50","795",
" 95/06/08","1,881,056","387,479,395","213.00","213.00","203.50","203.50","-15.00","908",
" 95/06/09","3,437,544","664,833,660","196.00","204.00","189.50","203.50"," 0.00","1,517",
" 95/06/12","1,465,928","295,718,812","197.00","205.00","197.00","205.00","+1.50","913",
" 95/06/13","1,182,180","238,985,310","203.00","207.00","198.00","204.50","-0.50","676",
" 95/06/14","1,712,000","355,713,500","204.50","211.50","204.50","208.00","+3.50","1,094",
" 95/06/15","1,695,325","340,557,387","208.00","211.50","193.50","197.00","-11.00","1,112",
" 95/06/16","2,443,785","481,393,435","203.00","203.50","189.00","190.00","-7.00","1,552",
" 95/06/19","2,607,000","500,829,500","189.00","198.00","188.00","190.00"," 0.00","1,621",
" 95/06/20","3,480,128","629,588,844","190.00","192.50","177.00","177.50","-12.50","1,624",
" 95/06/21","2,447,335","414,817,941","177.50","178.50","165.50","165.50","-12.00","1,228",
" 95/06/22","2,345,120","411,192,240","172.00","177.00","170.00","177.00","+11.50","1,139",
" 95/06/23","3,465,200","634,926,800","176.00","189.00","175.00","189.00","+12.00","2,038",
" 95/06/26","3,122,250","618,413,000","191.00","202.00","191.00","202.00","+13.00","1,869",
" 95/06/27","3,001,650","616,011,800","202.00","210.00","199.00","202.00"," 0.00","1,962",
" 95/06/28","1,950,661","394,476,505","198.00","207.00","197.00","205.00","+3.00","1,347",
" 95/06/29","1,457,000","300,142,000","207.00","209.00","203.00","205.00"," 0.00","1,046",
" 95/06/30","2,807,546","604,062,982","216.00","218.00","212.00","217.00","+12.00","1,607",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

