"10310る 6409 Π訥             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/10/01","261,435","65,260,990","238.50","255.50","238.50","255.00","+16.00","229",
"103/10/02","167,300","41,597,049","252.00","252.00","246.00","247.00","-8.00","169",
"103/10/03","144,500","35,526,249","248.00","250.00","243.00","245.50","-1.50","139",
"103/10/06","152,250","36,966,250","245.50","249.50","239.50","241.00","-4.50","153",
"103/10/07","260,100","63,161,349","242.00","247.50","240.50","243.00","+2.00","214",
"103/10/08","838,140","215,714,340","244.00","260.00","244.00","258.00","+15.00","703",
"103/10/09","412,544","106,185,132","257.00","263.50","251.50","254.50","-3.50","454",
"103/10/13","377,263","90,763,331","240.50","246.50","237.00","237.00","-17.50","372",
"103/10/14","184,633","44,022,654","237.00","241.00","234.00","239.50","+2.50","222",
"103/10/15","129,382","30,668,770","239.50","240.50","234.50","235.00","-4.50","151",
"103/10/16","282,270","65,166,910","230.50","236.50","224.00","233.00","-2.00","280",
"103/10/17","269,710","62,187,590","233.00","236.00","225.50","227.00","-6.00","252",
"103/10/20","232,235","54,199,990","229.00","237.00","229.00","235.50","+8.50","218",
"103/10/21","90,194","21,266,090","235.50","238.50","233.00","235.50"," 0.00","98",
"103/10/22","271,888","66,021,284","238.00","246.00","238.00","244.00","+8.50","281",
"103/10/23","105,050","25,533,622","240.00","247.50","240.00","242.50","-1.50","110",
"103/10/24","135,350","32,341,473","244.00","245.00","237.50","238.50","-4.00","142",
"103/10/27","233,575","53,276,100","230.00","236.00","223.00","229.00","-9.50","227",
"103/10/28","203,474","48,617,208","231.00","244.00","231.00","244.00","+15.00","204",
"103/10/29","178,709","44,187,139","248.00","250.00","245.00","245.00","+1.00","186",
"103/10/30","77,855","18,979,187","245.00","246.00","241.00","245.00"," 0.00","89",
"103/10/31","75,740","18,566,300","246.00","248.00","243.00","245.00"," 0.00","95",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

