"105年09月 6409 旭隼             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/09/01","54,365","26,651,040","483.50","496.00","483.50","489.50","-1.50","53",
"105/09/02","38,308","18,510,340","484.00","489.00","480.00","480.00","-9.50","44",
"105/09/05","144,115","68,815,700","480.00","482.50","469.00","476.00","-4.00","132",
"105/09/06","43,130","20,725,050","480.00","482.50","480.00","482.00","+6.00","45",
"105/09/07","125,526","61,764,760","482.00","496.00","482.00","494.50","+12.50","126",
"105/09/08","60,489","29,721,890","494.50","496.00","488.00","492.50","-2.00","45",
"105/09/09","40,150","19,430,550","489.50","489.50","481.00","481.00","-11.50","45",
"105/09/10","15,220","7,236,500","475.50","480.00","471.00","471.00","-10.00","24",
"105/09/12","40,109","19,163,374","480.00","480.50","471.00","477.00","+6.00","42",
"105/09/13","36,400","17,498,700","477.50","485.00","477.50","481.00","+4.00","44",
"105/09/14","48,245","23,420,070","479.50","489.00","479.50","489.00","+8.00","41",
"105/09/19","92,859","45,920,718","498.00","498.00","490.00","498.00","+9.00","100",
"105/09/20","70,999","35,015,500","487.00","497.00","487.00","494.50","-3.50","73",
"105/09/21","82,170","40,957,320","503.00","503.00","489.00","495.00","+0.50","86",
"105/09/22","72,810","36,131,830","498.00","498.00","494.00","497.00","+2.00","78",
"105/09/23","109,098","53,515,118","499.00","500.00","483.00","486.50","-10.50","114",
"105/09/26","77,489","37,714,854","486.50","488.50","485.50","486.00","-0.50","75",
"105/09/29","189,289","92,991,766","486.00","495.00","483.50","489.50","+3.50","184",
"105/09/30","88,978","43,383,676","488.00","491.50","484.50","490.00","+0.50","83",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

