"10305る 6415 -KY          らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/05/02","62,000","15,714,000","250.00","255.00","250.00","253.50","+3.50","57",
"103/05/05","113,013","29,317,919","250.00","267.00","250.00","265.00","+11.50","99",
"103/05/06","66,102","17,249,020","265.00","265.00","257.50","258.00","-7.00","67",
"103/05/07","21,000","5,356,000","255.00","256.50","254.00","254.50","-3.50","21",
"103/05/08","27,108","6,874,270","255.00","256.00","251.00","254.50"," 0.00","28",
"103/05/09","24,004","6,064,004","256.50","257.50","248.00","249.00","-5.50","24",
"103/05/12","49,900","12,641,100","252.50","255.00","249.00","254.00","+5.00","50",
"103/05/13","80,050","20,241,125","253.50","256.50","250.00","250.00","-4.00","69",
"103/05/14","75,000","18,683,500","245.00","250.50","245.00","249.50","-0.50","63",
"103/05/15","51,058","13,073,876","252.00","258.00","252.00","256.50","+7.00","52",
"103/05/16","124,022","31,319,764","250.00","262.00","248.00","262.00","+5.50","105",
"103/05/19","76,023","19,537,422","262.00","262.00","255.00","255.00","-7.00","68",
"103/05/20","72,118","18,139,675","256.00","256.00","249.50","249.50","-5.50","77",
"103/05/21","94,000","23,660,000","250.00","256.00","249.00","256.00","+6.50","84",
"103/05/22","227,110","59,824,320","260.00","268.00","256.00","262.00","+6.00","205",
"103/05/23","98,040","25,124,820","262.00","262.00","253.50","255.50","-6.50","99",
"103/05/26","91,200","23,230,800","255.50","255.50","253.50","254.00","-1.50","90",
"103/05/27","231,020","57,763,050","254.00","254.00","248.50","250.00","-4.00","217",
"103/05/28","89,040","22,608,340","250.50","258.00","250.00","256.00","+6.00","81",
"103/05/29","168,000","43,510,000","256.00","264.00","254.00","258.00","+2.00","133",
"103/05/30","272,062","73,295,112","260.00","276.00","260.00","276.00","+18.00","253",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

