"106年08月 6415 矽力-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/08/01","157,174","91,775,660","591.00","595.00","577.00","579.00","-11.00","149",
"106/08/02","234,158","138,860,010","579.00","600.00","579.00","599.00","+20.00","237",
"106/08/03","224,153","133,941,270","597.00","602.00","594.00","594.00","-5.00","216",
"106/08/04","110,100","65,429,900","595.00","600.00","589.00","589.00","-5.00","112",
"106/08/07","106,094","63,529,306","592.00","603.00","592.00","603.00","+14.00","105",
"106/08/08","208,040","126,639,160","611.00","614.00","600.00","609.00","+6.00","208",
"106/08/09","172,050","103,648,000","608.00","615.00","595.00","600.00","-9.00","167",
"106/08/10","174,194","104,079,788","600.00","604.00","593.00","597.00","-3.00","174",
"106/08/11","199,391","118,434,517","593.00","604.00","588.00","591.00","-6.00","197",
"106/08/14","742,399","464,885,365","595.00","650.00","595.00","640.00","+49.00","673",
"106/08/15","565,594","352,667,750","645.00","654.00","602.00","618.00","-22.00","528",
"106/08/16","346,293","219,172,539","639.00","645.00","623.00","627.00","+9.00","323",
"106/08/17","144,096","90,837,152","633.00","640.00","621.00","640.00","+13.00","134",
"106/08/18","247,299","158,848,163","639.00","649.00","630.00","641.00","+1.00","203",
"106/08/21","239,750","153,811,350","641.00","652.00","633.00","633.00","-8.00","199",
"106/08/22","77,093","49,221,334","635.00","646.00","631.00","642.00","+9.00","72",
"106/08/23","134,072","85,623,072","650.00","650.00","626.00","626.00","-16.00","141",
"106/08/24","143,191","91,687,341","626.00","655.00","626.00","655.00","+29.00","140",
"106/08/25","207,495","136,032,175","658.00","670.00","643.00","660.00","+5.00","194",
"106/08/28","211,952","142,670,552","659.00","685.00","654.00","680.00","+20.00","210",
"106/08/29","207,013","140,623,762","674.00","690.00","667.00","678.00","-2.00","207",
"106/08/30","125,670","86,111,950","678.00","698.00","678.00","681.00","+3.00","127",
"106/08/31","135,106","91,084,338","689.00","689.00","663.00","673.00","-8.00","140",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

