"106年03月 6456 GIS-KY           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/03/01","3,107,269","386,443,856","127.50","127.50","121.50","121.50","-4.50","2,167",
"106/03/02","4,933,558","613,609,469","125.50","127.50","122.00","124.50","+3.00","3,252",
"106/03/03","1,781,300","219,811,850","123.50","125.00","122.00","123.00","-1.50","1,218",
"106/03/06","3,056,440","384,126,159","123.00","127.00","123.00","127.00","+4.00","1,833",
"106/03/07","3,755,469","475,770,625","128.00","129.50","125.00","125.00","-2.00","2,340",
"106/03/08","11,214,387","1,466,540,084","129.00","133.50","128.00","132.50","+7.50","6,612",
"106/03/09","6,919,670","914,593,110","133.50","134.50","129.00","133.00","+0.50","4,358",
"106/03/10","6,063,914","805,940,218","133.50","137.50","128.50","137.00","+4.00","3,807",
"106/03/13","11,036,600","1,568,601,399","138.00","146.00","135.50","146.00","+9.00","6,959",
"106/03/14","7,761,741","1,150,597,909","147.50","150.00","145.50","149.00","+3.00","5,403",
"106/03/15","6,625,112","990,223,576","148.00","153.00","147.00","148.00","-1.00","4,802",
"106/03/16","5,874,890","864,365,550","150.00","151.00","143.00","145.00","-3.00","3,616",
"106/03/17","5,753,733","826,553,413","145.50","147.00","141.00","145.00"," 0.00","3,879",
"106/03/20","4,355,050","638,245,350","147.00","149.00","144.00","145.50","+0.50","2,825",
"106/03/21","2,571,209","375,407,405","147.00","147.50","145.50","145.50"," 0.00","1,766",
"106/03/22","6,041,344","847,576,327","141.00","142.50","138.00","140.50","-5.00","3,906",
"106/03/23","8,880,014","1,295,957,044","142.50","151.00","140.00","145.00","+4.50","5,614",
"106/03/24","8,142,310","1,215,200,153","147.00","151.50","146.50","148.50","+3.50","5,066",
"106/03/27","2,859,652","418,096,344","148.00","148.50","144.50","144.50","-4.00","2,011",
"106/03/28","3,729,398","542,523,908","146.00","149.00","140.50","145.50","+1.00","2,402",
"106/03/29","2,431,715","352,729,317","148.00","148.50","143.50","143.50","-2.00","1,544",
"106/03/30","6,264,917","922,284,169","143.00","149.50","142.00","149.00","+5.50","3,790",
"106/03/31","4,514,600","667,288,798","148.50","150.50","145.00","145.50","-3.50","2,742",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

