"93年10月 6505 台塑化           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 93/10/01","14,035,912","812,312,572","57.00","58.50","57.00","58.00","+1.00","2,284",
" 93/10/04","20,833,578","1,227,144,213","58.50","59.50","57.50","58.50","+0.50","3,222",
" 93/10/05","5,607,442","327,837,206","58.50","59.00","58.00","58.50"," 0.00","1,176",
" 93/10/06","9,911,099","583,909,736","58.50","59.50","58.50","58.50"," 0.00","1,349",
" 93/10/07","6,880,702","407,639,710","59.00","59.50","58.50","59.50","+1.00","1,278",
" 93/10/08","2,483,614","147,374,312","59.50","59.50","59.00","59.50"," 0.00","740",
" 93/10/11","4,735,462","281,511,628","59.00","60.00","59.00","60.00","+0.50","829",
" 93/10/12","2,905,154","172,233,765","60.00","60.00","59.00","59.00","-1.00","674",
" 93/10/13","5,012,010","292,364,139","59.00","59.00","57.50","58.50","-0.50","951",
" 93/10/14","13,066,307","738,326,544","58.50","58.50","55.50","55.50","-3.00","2,308",
" 93/10/15","6,241,806","351,420,188","55.50","57.00","55.50","56.00","+0.50","982",
" 93/10/18","5,023,614","285,373,738","57.00","57.50","56.50","57.00","+1.00","1,204",
" 93/10/19","4,940,785","280,906,473","57.00","57.50","56.50","57.50","+0.50","704",
" 93/10/20","3,284,361","185,345,028","57.00","57.00","56.00","56.00","-1.50","628",
" 93/10/21","4,691,488","262,094,001","55.50","57.00","55.00","56.50","+0.50","668",
" 93/10/22","2,330,590","129,533,994","56.00","56.50","55.00","55.00","-1.50","761",
" 93/10/26","8,672,727","486,992,216","55.00","57.00","55.00","56.50","+1.50","1,026",
" 93/10/27","7,059,745","400,173,255","56.50","57.00","56.00","56.50"," 0.00","874",
" 93/10/28","3,844,930","218,928,403","56.50","57.50","56.50","57.00","+0.50","773",
" 93/10/29","5,607,645","316,645,580","56.50","57.00","56.00","56.00","-1.00","803",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

